abashiri	Abashiri
nobeoka	Nobeoka
noboribetsu	Noboribetsu
noborito	Noborito
noda	Noda
nogata	Nōgata
nogi	Nogi
nojiri	Nojiri
nokan	Nōkan
nomi	Nomi
nomimachi	Nomimachi
nonoichi	Nonoichi
noshio	Noshio
noshiro	Noshiro
nozawa	Nozawa
nukui	Nukui
numabukuro	Numabukuro
numakunai	Numakunai
numata	Numata
numazu	Numazu
nyuzen	Nyūzen
o-zanuki	Ō-zanuki
oami	Ōami
oamishirasato	Ōamishirasato
oarai	Ōarai
obama	Obama
obanazawa	Obanazawa
obara	Obara
obata	Obata
obihiro	Obihiro
obiracho	Obirachō
obita	Obita
obu	Ōbu
obuchi	Obuchi
obuse	Obuse
ochi	Ochi
oda	Oda
odacho-oda	Ōdachō-ōda
odai	Ōdai
odate	Ōdate
odawara	Odawara
ofunato	Ōfunato
oga	Oga
ogaki	Ōgaki
ogano	Ogano
ogasawara	Ogasawara
ogawa	Ogawa
ogawamachi	Ogawamachi
ogi	Ōgi
ogi	Ogi
ogikubo	Ogikubo
ogimi	Ōgimi
ogori	Ogōri
ogori-shimogo	Ogōri-shimogō
ogose	Ogose
oguchi	Ōguchi
ogunimachi	Ogunimachi
ogura	Ogura
ogushi	Ōgushi
ohara	Ōhara
oharu	Ōharu
ohira	Ōhira
oi	Ōi
oikawa	Oikawa
oishida	Ōishida
oiso	Ōiso
oita	Ōita
oizumi-gakuencho	Ōizumi-gakuenchō
oizumimachi	Ōizumimachi
oji	Ōji
oji	Oji
ojika	Ojika
ojima	Ōjima
ojiya	Ojiya
oka	Ōka
okawa	Ōkawa
okawara	Ōkawara
okaya	Okaya
okayama	Okayama
okazaki	Okazaki
okegawa	Okegawa
oketo	Oketo
okinawa	Okinawa
okino	Okino
okoppe	Okoppe
okubo	Ōkubo
okubo-naka	Ōkubo-naka
okuchi-shinohara	Ōkuchi-shinohara
okugano	Okugano
okuno	Okuno
okunoya	Okunoya
okushiri	Okushiri
oma	Ōma
omachi	Ōmachi
omaezaki	Omaezaki
omagari	Ōmagari
omamacho-omama	Ōmamachō-ōmama
ome	Ōme
omi	Omi
omigawa	Omigawa
omihachiman	Ōmihachiman
omitama	Omitama
omiya	Ōmiya
omorinaka	Ōmorinaka
omu	Ōmu
omura	Ōmura
omuta	Ōmuta
onagawa cho	Onagawa Chō
onishi	Ōnishi
onna	Onna
ono	Ono
ono	Ōno
ono-hara	Ōno-hara
ono-niimachi	Ono-niimachi
onoda	Onoda
onojo	Ōnojō
onomichi	Onomichi
onuma	Onuma
osaka	Osaka
osaka-sayama	Ōsaka-sayama
osaki	Ōsaki
oshamambe	Oshamambe
oshiage	Oshiage
oshidomari	Oshidomari
oshima	Oshima
oshima	Ōshima
oshima-shiriuchi	Oshima-shiriuchi
oshino	Oshino
oshio	Ōshio
oshu	Ōshū
ota	Ōta
otake	Ōtake
otaki	Ōtaki
otaru	Otaru
otawara	Ōtawara
otera	Ōtera
otobe	Otobe
otofuke	Otofuke
otomo	Otomo
otsu	Ōtsu
otsuchi	Ōtsuchi
otsuka	Ōtsuka
otsuki	Ōtsuki
ouchi	Ōuchi
ouda	Ōuda
ouda-yamaguchi	Ōuda-yamaguchi
owa	Ōwa
owani	Ōwani
owariasahi	Owariasahi
owarino	Ōwarino
owase	Owase
oyabe	Oyabe
oyama	Oyama
oyama	Ōyama
oyama-higashicho	Ōyama-higashichō
oyama-kanaicho	Ōyama-kanaichō
oyama-nishicho	Ōyama-nishichō
oyamazaki	Oyamazaki
oyanomachi-noboritate	Ōyanomachi-noboritate
oyauchi	Ōyauchi
ozato	Ōzato
ozora	Ozora
ozu	Ōzu
pippu	Pippu
rankoshimachi	Rankoshimachi
ranzan	Ranzan
rausu	Rausu
rebun	Rebun
rifu	Rifu
rikubetsu	Rikubetsu
rikuzen-takata	Rikuzen-Takata
rikuzentakata	Rikuzentakata
rinkan	Rinkan
rishiri town	Rishiri Town
ritto	Rittō
rokucho	Rokuchō
rokugo	Rokugō
roppongi	Roppongi
rumoi	Rumoi
rusutsu	Rusutsu
ryogoku	Ryōgoku
ryotsu-minato	Ryōtsu-minato
ryugasaki	Ryūgasaki
ryumaicho	Ryūmaichō
ryuo	Ryūō
sabae	Sabae
sadamitsu	Sadamitsu
sado	Sado
saga	Saga
sagae	Sagae
sagamihara	Sagamihara
sagara	Sagara
saginomiya	Saginomiya
sai	Sai
saijo	Saijō
saikai	Saikai
saiki	Saiki
saiku	Saikū
saikubo	Saikubo
saitama	Saitama
saito	Saito
saka	Saka
sakado	Sakado
sakae	Sakae
sakahogi	Sakahogi
sakai	Sakai
sakai-nakajima	Sakai-nakajima
sakaidecho	Sakaidechō
sakaiminato	Sakaiminato
sakaki	Sakaki
sakakita	Sakakita
sakamoto	Sakamoto
sakanoue	Sakanoue
sakaridani	Sakaridani
sakata	Sakata
sakawa	Sakawa
saki	Saki
saku	Saku
sakura	Sakura
sakuradai	Sakuradai
sakuragaokacho	Sakuragaokachō
sakuragawa	Sakuragawa
sakurai	Sakurai
samata	Samata
sanagochi	Sanagōchi
sanda	Sanda
sandacho	Sandachō
sanjo	Sanjō
sanjukyusen	Sanjūkyūsen
sankasho	Sankasho
sanmu	Sanmu
sannohe	Sannohe
sano	Sano
sanuki	Sanuki
sanyoonoda	Sanyōonoda
sapporo	Sapporo
sarabetsu	Sarabetsu
sarubetsu	Sarubetsu
sarugamori	Sarugamori
saruhashi	Saruhashi
sarushi	Sarushi
sasadaira	Sasadaira
sasaguri	Sasaguri
sasayama	Sasayama
sasazuka	Sasazuka
sasebo	Sasebo
sashiki	Sashiki
sashiogi	Sashiōgi
sato	Sato
satohata	Satohata
satosho	Satoshō
satte	Satte
sawara	Sawara
sayama	Sayama
sayo	Sayō
seiro	Seirō
seisui	Seisui
seiyo	Seiyo
seki	Seki
sekicho-furumaya	Sekichō-furumaya
sekigahara	Sekigahara
sekimachi	Sekimachi
sekimachi-higashi	Sekimachi-higashi
sekimachi-minami	Sekimachi-minami
semboku	Semboku
sendagaya	Sendagaya
sendagi	Sendagi
sendai	Sendai
senju	Senju
sennan	Sennan
senzoku	Senzoku
setagaya	Setagaya
setakamachi-takayanagi	Setakamachi-takayanagi
setamai	Setamai
setana	Setana
seto	Seto
setouchi	Setouchi
settsu	Settsu
shiba	Shība
shibakoen	Shibakōen
shibata	Shibata
shibayama	Shibayama
shibecha	Shibecha
shibetsu	Shibetsu
shibukawa	Shibukawa
shibushi	Shibushi
shibuya	Shibuya
shichijo	Shichijō
shichinohe	Shichinohe
shido	Shido
shihoro	Shihoro
shiida	Shiida
shijonawate	Shijōnawate
shikabe	Shikabe
shikama	Shikama
shikaoi	Shikaoi
shiki	Shiki
shikinejima	Shikinejima
shikitsu	Shikitsu
shikokuchuo	Shikokuchūō
shima	Shima
shimabara	Shimabara
shimada	Shimada
shimanto	Shimanto
shime	Shime
shimizu	Shimizu
shimo-furano	Shimo-furano
shimo-ichigi	Shimo-ichigi
shimo-tsuma	Shimo-tsuma
shimobuchi	Shimobuchi
shimoda	Shimoda
shimodate	Shimodate
shimogamo	Shimogamo
shimogoto	Shimogotō
shimoichi	Shimoichi
shimoigusa	Shimoigusa
shimojo	Shimojō
shimokawauchi	Shimokawauchi
shimokizukuri	Shimokizukuri
shimomatsumoto	Shimomatsumoto
shimonakatsukawa	Shimonakatsukawa
shimonita	Shimonita
shimonoseki	Shimonoseki
shimoseki	Shimoseki
shimosuwa	Shimosuwa
shimotoda	Shimotoda
shimotsuke	Shimotsuke
shimoyuge	Shimoyuge
shimo’ochiai	Shimo’ochiai
shimukappu	Shimukappu
shimura	Shimura
shinagawa	Shinagawa
shinbashi	Shinbashi
shinden	Shinden
shingu	Shingū
shinjo	Shinjō
shinjuku	Shinjuku
shinkoyasu	Shinkoyasu
shinmachi	Shinmachi
shinshimokawa	Shinshimokawa
shinshiro	Shinshiro
shintoku	Shintoku
shintomi	Shintomi
shin’ichi	Shin’ichi
shin’imazato	Shin’imazato
shiogama	Shiogama
shioiri	Shioiri
shiojiri	Shiojiri
shiozawa	Shiozawa
shirahama	Shirahama
shirahamacho-usazakiminami	Shirahamachō-usazakiminami
shirakawa	Shirakawa
shiranuka	Shiranuka
shiraoi	Shiraoi
shiraoka	Shiraoka
shirasawa	Shirasawa
shiroi	Shiroi
shiroishi	Shiroishi
shiromoto	Shiromoto
shirone	Shirone
shiso	Shisō
shisui	Shisui
shitara	Shitara
shizukuishi	Shizukuishi
shizunai-furukawacho	Shizunai-furukawachō
shizuoka	Shizuoka
shobara	Shōbara
shobu	Shōbu
shobudahama	Shōbudahama
shoji	Shoji
shojihigashi	Shojihigashi
shonai	Shonai
shosanbetsu	Shosanbetsu
showa	Shōwa
shoyama	Shōyama
shukugo	Shukugō
shunan	Shūnan
shuzenji	Shuzenji
sobetsu	Sōbetsu
sobue	Sobue
sodegaura	Sodegaura
soeda	Soeda
soja	Sōja
soka	Sōka
soma	Sōma
sonobe	Sonobe
sonogishukugo	Sonogishukugō
soo	Soo
sosa	Sōsa
sue	Sue
sueyoshicho-ninokata	Sueyoshichō-ninokata
suga-inadazutsumi	Suga-inadazutsumi
sugahama	Sugahama
sugai	Sugai
sugamo	Sugamo
sugi	Sugi
suginami	Suginami
sugita	Sugita
sugito	Sugito
suibara	Suibara
suibun	Suibun
suita	Suita
sukagawa	Sukagawa
sukayama	Sukayama
sukekawa	Sukekawa
sukumo	Sukumo
sumida	Sumida
sumiyoshi	Sumiyoshi
sumoto	Sumoto
sunagawa	Sunagawa
susaki	Susaki
susami	Susami
susono	Susono
suttsu	Suttsu
suwa	Suwa
suzaka	Suzaka
suzu	Suzu
suzuka	Suzuka
tabata	Tabata
tabuse	Tabuse
tachiarai	Tachiarai
tachikawa	Tachikawa
tadami	Tadami
tadaoka-higashi	Tadaoka-higashi
tadotsu	Tadotsu
taga	Taga
tagajo-shi	Tagajō-shi
tagami	Tagami
tagawa	Tagawa
tagonai	Tagonai
tahara	Tahara
taiji	Taiji
taiki	Taiki
tainai	Tainai
taira	Taira
taishi	Taishi
taito	Taito
tajimi	Tajimi
tajiri	Tajiri
takabo	Takabō
takada	Takada
takahagi	Takahagi
takahama	Takahama
takahara	Takahara
takaharu	Takaharu
takahashi	Takahashi
takahata	Takahata
takaike	Takaike
takaishi	Takaishi
takajo	Takajō
takamatsu	Takamatsu
takamori	Takamori
takanabe	Takanabe
takanawa	Takanawa
takanodai	Takanodai
takanomachi	Takanomachi
takanosu	Takanosu
takanuki	Takanuki
takaoka	Takaoka
takarazuka	Takarazuka
takasago	Takasago
takasaka	Takasaka
takasaki	Takasaki
takashima	Takashima
takashimadaira	Takashimadaira
takasu	Takasu
takatsukadai	Takatsukadai
takatsuki	Takatsuki
takayama	Takayama
takedamachi	Takedamachi
takefu	Takefu
takehara	Takehara
takenotsuka	Takenotsuka
takenouchi	Takenouchi
takeo	Takeo
taketa	Taketa
taketoyo	Taketoyo
takikawa	Takikawa
takinomiya	Takinomiya
takinoue	Takinoue
takizawa	Takizawa
takko	Takko
tako	Tako
taku	Taku
tama	Tama
tamagawa	Tamagawa
tamamura	Tamamura
tamana	Tamana
tamano	Tamano
tamanoi	Tamanoi
tamaru	Tamaru
tamba	Tamba
tamba-sasayama	Tamba-Sasayama
tamura	Tamura
tanabe	Tanabe
tanagura	Tanagura
tanashicho	Tanashichō
tanba	Tanba
tano	Tano
tanohata	Tanohata
tanokuchi	Tanokuchi
tanuma	Tanuma
tanushimarumachi-toyoki	Tanushimarumachi-toyoki
tara	Tara
taragi	Taragi
tarama	Tarama
tarui	Tarui
tarumizu	Tarumizu
tashiro	Tashiro
tatebayashi	Tatebayashi
tateishi	Tateishi
tateyama	Tateyama
tatsugo	Tatsugō
tatsuiwa	Tatsuiwa
tatsumi	Tatsumi
tatsuno	Tatsuno
tatsuno-kita	Tatsuno-kita
tatsunocho-tominaga	Tatsunochō-tominaga
tawaramoto	Tawaramoto
tendo	Tendō
tenman	Tenman
tenno	Tennō
tennodai	Tennodai
tennozu	Tennōzu
tenri	Tenri
teshikaga	Teshikaga
teshio	Teshio
toba	Toba
tobetsu	Tōbetsu
tobishima	Tobishima
tochigi	Tochigi
tochio-honcho	Tochio-honchō
toda	Toda
togane	Tōgane
togitsu	Togitsu
togochi	Togōchi
togoshi	Togoshi
toi	Toi
toin	Tōin
tokai	Tōkai
tokai	Tokai
tokamachi	Tōkamachi
toki	Toki
tokiwadai	Tokiwadai
tokoji	Tōkōji
tokoname	Tokoname
tokorozawa	Tokorozawa
tokugawa	Tokugawa
tokushima	Tokushima
tokuwase	Tokuwase
tokuyama	Tokuyama
tokyo	Tokyo
toma	Tōma
tomakomai	Tomakomai
tomamae	Tomamae
tomari	Tomari
tome	Tome
tomi	Tōmi
tomigusuku	Tomigusuku
tomika	Tomika
tomioka	Tomioka
tomisato	Tomisato
tomiya	Tomiya
tomobe	Tomobe
tomondo	Tomondo
tomoura	Tomoura
tonami	Tonami
tondabayashicho	Tondabayashichō
toneri	Toneri
tono	Tōno
tonosho	Tonoshō
toon	Tōon
toppushi	Toppushi
toranomon	Toranomon
toride	Toride
tosa	Tosa
tosashimizu	Tosashimizu
tosayamadacho-nakano	Tosayamadachō-nakano
toshima	Toshima
tosu	Tosu
tottori-shi	Tottori-shi
towada	Towada
toyako-onsemmachi	Tōyako-onsemmachi
toyama	Toyama
toyo	Tōyō
toyoake	Toyoake
toyoda	Toyoda
toyohama	Toyohama
toyohashi	Toyohashi
toyokawa	Toyokawa
toyokoro	Toyokoro
toyonaka	Toyonaka
toyone	Toyone
toyooka	Toyooka
toyosato	Toyosato
toyoshina	Toyoshina
toyosu	Toyosu
toyota	Toyota
toyotomi	Toyotomi
toyoura	Toyoura
toyoyama	Toyoyama
tsu	Tsu
tsubame	Tsubame
tsubata	Tsubata
tsuchiura	Tsuchiura
tsugaru	Tsugaru
tsugawa	Tsugawa
tsuha	Tsuha
tsuiki	Tsuiki
tsukabaru	Tsukabaru
tsukawaki	Tsukawaki
tsukigata	Tsukigata
tsukiji	Tsukiji
tsukuba	Tsukuba
tsukubamirai	Tsukubamirai
tsukumiura	Tsukumiura
tsuma	Tsuma
tsumori	Tsumori
tsunagi	Tsunagi
tsuno	Tsunō
tsuru	Tsuru
tsuruda	Tsuruda
tsuruga	Tsuruga
tsurugashima	Tsurugashima
tsurugi-asahimachi	Tsurugi-asahimachi
tsurui	Tsurui
tsuruoka	Tsuruoka
tsurusaki	Tsurusaki
tsuruta	Tsuruta
tsushima	Tsushima
tsuwano	Tsuwano
tsuyama	Tsuyama
ubagai	Ubagai
ube	Ube
ubuyama	Ubuyama
uchiko	Uchiko
udono	Udono
ueda	Ueda
uejima	Uejima
uekimachi-mono	Uekimachi-mōno
ueno	Ueno
ueno-ebisumachi	Ueno-ebisumachi
uenohara	Uenohara
uetake	Uetake
uji	Uji
ujiie	Ujiie
uken	Uken
uki	Uki
ukiha	Ukiha
ukima	Ukima
umeda	Umeda
umegaoka	Umegaoka
umejima	Umejima
umeki	Umeki
umi	Umi
uminokuchi	Uminokuchi
unnan	Unnan
unzen	Unzen
uonuma	Uonuma
uozu	Uozu
urakawa	Urakawa
urasa	Urasa
urasoe	Urasoe
urausunai	Urausunai
urayasu	Urayasu
ureshino	Ureshino
ureshinomachi-shimojuku	Ureshinomachi-shimojuku
uruma	Uruma
uryu	Uryū
usa	Usa
ushibukamachi	Ushibukamachi
ushigome	Ushigome
ushiku	Ushiku
ushitsu	Ushitsu
usui	Usui
usuki	Usuki
utashinai	Utashinai
utazu	Utazu
uto	Uto
utsunomiya	Utsunomiya
uwa	Uwa
uwajima	Uwajima
wada	Wada
wadayama	Wadayama
wado	Wado
wadomari	Wadomari
wajiki	Wajiki
wajima	Wajima
wakabayashi	Wakabayashi
wakasa	Wakasa
wakasu	Wakasu
wakasugi	Wakasugi
wakayama	Wakayama
wake	Wake
waki	Waki
wakimachi	Wakimachi
wakkanai	Wakkanai
wako	Wako
wakuya	Wakuya
wanouchi	Wanouchi
warabi	Warabi
wasa	Wasa
waseda-tsurumakicho	Waseda-tsurumakichō
washinomiya	Washinomiya
wassamu	Wassamu
watari	Watari
yabase	Yabase
yabe	Yabe
yabu	Yabu
yabuki	Yabuki
yachi	Yachi
yachigoya	Yachigoya
yachimata	Yachimata
yachiyo	Yachiyo
yae	Yae
yaese	Yaese
yagoshima	Yagoshima
yahaba	Yahaba
yahiko	Yahiko
yaita	Yaita
yaizu	Yaizu
yakage	Yakage
yakami	Yakami
yakumo	Yakumo
yamabuki	Yamabuki
yamada	Yamada
yamae	Yamae
yamaga	Yamaga
yamagata	Yamagata
yamaguchi	Yamaguchi
yamaguma	Yamaguma
yamakita	Yamakita
yamakiya	Yamakiya
yamanaka	Yamanaka
yamanashi	Yamanashi
yamanobe	Yamanobe
yamashita	Yamashita
yamata	Yamata
yamato	Yamato
yamato-takada	Yamato-Takada
yamatohama	Yamatohama
yamatokoriyama	Yamatokōriyama
yamazakicho-nakabirose	Yamazakichō-nakabirose
yame	Yame
yamoto	Yamoto
yanagawa	Yanagawa
yanagawamachi-saiwaicho	Yanagawamachi-saiwaichō
yanai	Yanai
yanaizu	Yanaizu
yanase	Yanase
yao	Yao
yaotsu	Yaotsu
yashio	Yashio
yashiro	Yashiro
yasu	Yasu
yasuda	Yasuda
yasugi	Yasugi
yasugicho	Yasugichō
yasuoka	Yasuoka
yatomi	Yatomi
yatsuomachi-higashikumisaka	Yatsuomachi-higashikumisaka
yatsushiro	Yatsushiro
yawata	Yawata
yawatahama	Yawatahama
yoga	Yōga
yoichi	Yoichi
yokaichiba	Yōkaichiba
yokkaichi	Yokkaichi
yokohama	Yokohama
yokokawa	Yokokawa
yokose	Yokose
yokoshiba	Yokoshiba
yokosuka	Yokosuka
yokota	Yokota
yokote	Yokote
yokoze	Yokoze
yomitan	Yomitan
yomogita	Yomogita
yonabaru	Yonabaru
yonago	Yonago
yonakuni	Yonakuni
yonedacho sendo	Yonedacho Sendo
yonezawa	Yonezawa
yono	Yono
yorii	Yorii
yoshida-kasugacho	Yoshida-kasugachō
yoshii	Yoshii
yoshikawa	Yoshikawa
yoshino	Yoshino
yoshino-cho	Yoshino-chō
yoshinogawa	Yoshinogawa
yoshioka	Yoshioka
yoshitomi	Yoshitomi
yotsukaido	Yotsukaidō
yotsutsuji	Yotsutsuji
yotsuya	Yotsuya
youkaichi	Youkaichi
yoyogi	Yoyogi
yuasa	Yuasa
yubari	Yūbari
yudomari	Yudomari
yufu	Yufu
yugawara	Yugawara
yuki	Yūki
yukuhashi	Yukuhashi
yuni	Yuni
yunomae	Yunomae
yunoo	Yunoo
yura	Yura
yurigaoka	Yurigaoka
yurihonjo	Yurihonjō
yushima	Yushima
yusuhara	Yusuhara
yutenji	Yūtenji
yuyama	Yuyama
yuza	Yuza
yuzaki	Yūzaki
yuzawa	Yuzawa
zaisho	Zaisho
zama	Zama
zentsujicho	Zentsujichó
zoshigaya	Zōshigaya
zushi	Zushi
