abadzekhskaya	Abadzekhskaya
idritsa	Idritsa
igarka	Igarka
iglino	Iglino
ignatovka	Ignatovka
igra	Igra
igrim	Igrim
ikey	Ikey
iki burul	Iki Burul
ikon-khalk	Ikon-Khalk
ikovka	Ikovka
ikryanoye	Ikryanoye
iksha	Iksha
ilanskiy	Ilanskiy
ilaskhan-yurt	Ilaskhan-Yurt
ilek	Ilek
ileza	Ileza
ilir	Ilir
ilovka	Ilovka
ilovlya	Ilovlya
ilyinogorsk	Ilyinogorsk
il’ich	Il’ich
il’ichevo	Il’ichëvo
il’ichevo	Il’ichevo
il’inka	Il’inka
il’inskiy	Il’inskiy
il’inskiy pogost	Il’inskiy Pogost
il’insko-podomskoye	Il’insko-Podomskoye
il’inskoye	Il’inskoye
il’inskoye-khovanskoye	Il’inskoye-Khovanskoye
il’ka	Il’ka
il’skiy	Il’skiy
im. telmana posyolok	Im. Telmana Posyolok
imeni babushkina	Imeni Babushkina
imeni karla libknekhta	Imeni Karla Libknekhta
imeni m. i. kalinina	Imeni M. I. Kalinina
imeni morozova	Imeni Morozova
imeni poliny osipenko	Imeni Poliny Osipenko
imeni stepana razina	Imeni Stepana Razina
imeni sverdlova	Imeni Sverdlova
imeni tsyurupy	Imeni Tsyurupy
imeni vladimira il’icha lenina	Imeni Vladimira Il’icha Lenina
imeni vorovskogo	Imeni Vorovskogo
imeni zhelyabova	Imeni Zhelyabova
inderka	Inderka
inozemtsevo	Inozemtsevo
insar	Insar
inskoy	Inskoy
inta	Inta
inya	Inya
inza	Inza
inzer	Inzer
inzhavino	Inzhavino
inzhich-chukun	Inzhich-Chukun
iogach	Iogach
ipatovo	Ipatovo
irbeyskoye	Irbeyskoye
irbit	Irbit
irgakly	Irgakly
irganay	Irganay
irkliyevskaya	Irkliyevskaya
irkutsk	Irkutsk
irsha	Irsha
irtyshskiy	Irtyshskiy
is	Is
isakly	Isakly
isakogorka	Isakogorka
isetskoye	Isetskoye
iset’	Iset’
ishcherskaya	Ishcherskaya
isheyevka	Isheyevka
ishim	Ishim
ishimbay	Ishimbay
ishkhoy-yurt	Ishkhoy-Yurt
ishley	Ishley
ishnya	Ishnya
isil’kul’	Isil’kul’
iskateley	Iskateley
iskitim	Iskitim
islamey	Islamey
ispravnaya	Ispravnaya
issa	Issa
issad	Issad
istok	Istok
istra	Istra
isyangulovo	Isyangulovo
itatskiy	Itatskiy
itum-kali	Itum-Kali
ivangorod	Ivangorod
ivanino	Ivanino
ivanishchi	Ivanishchi
ivanovka	Ivanovka
ivanovo	Ivanovo
ivanovskaya	Ivanovskaya
ivanovskoye	Ivanovskoye
ivanteyevka	Ivanteyevka
ivdel’	Ivdel’
ivnya	Ivnya
ivolginsk	Ivolginsk
ivot	Ivot
izberbash	Izberbash
izborsk	Izborsk
izhevsk	Izhevsk
izhevskoye	Izhevskoye
izhma	Izhma
izhmorskiy	Izhmorskiy
izluchinsk	Izluchinsk
izmalkovo	Izmalkovo
izmaylovo	Izmaylovo
iznoski	Iznoski
izobil’nyy	Izobil’nyy
izoplit	Izoplit
izumrud	Izumrud
izvestkovyy	Izvestkovyy
kaa-khem	Kaa-Khem
kabakovo	Kabakovo
kabanovo	Kabanovo
kabansk	Kabansk
kabardinka	Kabardinka
kabir	Kabir
kachkanar	Kachkanar
kachug	Kachug
kadaya	Kadaya
kadnikov	Kadnikov
kadom	Kadom
kadoshkino	Kadoshkino
kaduy	Kaduy
kadyy	Kadyy
kafyr-kumukh	Kafyr-Kumukh
kagal’nitskaya	Kagal’nitskaya
kakhun	Kakhun
kalach	Kalach
kalach-na-donu	Kalach-na-Donu
kalachinsk	Kalachinsk
kalanguy	Kalanguy
kalashnikovo	Kalashnikovo
kalevala	Kalevala
kalga	Kalga
kalikino	Kalikino
kalinin	Kalinin
kalininaul	Kalininaul
kaliningrad	Kaliningrad
kalininsk	Kalininsk
kalininskaya	Kalininskaya
kalininskiy	Kalininskiy
kalino	Kalino
kalinovo	Kalinovo
kalinovskaya	Kalinovskaya
kalinovskoye	Kalinovskoye
kalmanka	Kalmanka
kalnibolotskaya	Kalnibolotskaya
kaltan	Kaltan
kaltasy	Kaltasy
kaltay	Kaltay
kaluga	Kaluga
kalyazin	Kalyazin
kama	Kama
kambarka	Kambarka
kambileyevskoye	Kambileyevskoye
kamenetskiy	Kamenetskiy
kamenka	Kamenka
kamennogorsk	Kamennogorsk
kamennomostskiy	Kamennomostskiy
kamennomostskoye	Kamennomostskoye
kamenolomni	Kamenolomni
kamensk	Kamensk
kamensk-shakhtinsky	Kamensk-Shakhtinsky
kamensk-ural’skiy	Kamensk-Ural’skiy
kamenskiy	Kamenskiy
kamenskoye	Kamenskoye
kamen’-na-obi	Kamen’-na-Obi
kamen’-rybolov	Kamen’-Rybolov
kameshkovo	Kameshkovo
kaminskiy	Kaminskiy
kamskiye polyany	Kamskiye Polyany
kamyshevatskaya	Kamyshevatskaya
kamyshin	Kamyshin
kamyshla	Kamyshla
kamyshlov	Kamyshlov
kamyzyak	Kamyzyak
kanadey	Kanadey
kanash	Kanash
kanashevo	Kanashevo
kanayevka	Kanayevka
kandalaksha	Kandalaksha
kandry	Kandry
kanelovskaya	Kanelovskaya
kanevskaya	Kanevskaya
kangalassy	Kangalassy
kangly	Kangly
kansk	Kansk
kantemirovka	Kantemirovka
kantyshevo	Kantyshevo
kapotnya	Kapotnya
kapustin yar	Kapustin Yar
kara-tyube	Kara-Tyube
karabanovo	Karabanovo
karabash	Karabash
karabudakhkent	Karabudakhkent
karabulak	Karabulak
karachayevsk	Karachayevsk
karachev	Karachev
karagach	Karagach
karagay	Karagay
karagayla	Karagayla
karaidel’	Karaidel’
karakulino	Karakulino
karalat	Karalat
karamakhi	Karamakhi
karasuk	Karasuk
karata	Karata
karatuzskoye	Karatuzskoye
kardailovo	Kardailovo
kardonikskaya	Kardonikskaya
kardymovo	Kardymovo
kardzhin	Kardzhin
kargalinskaya	Kargalinskaya
kargapol’ye	Kargapol’ye
kargasok	Kargasok
kargat	Kargat
kargopol’	Kargopol’
karinskoye	Karinskoye
karmaskaly	Karmaskaly
karpinsk	Karpinsk
karpogory	Karpogory
karpushikha	Karpushikha
karsun	Karsun
kartaly	Kartaly
karymskoye	Karymskoye
kashary	Kashary
kashin	Kashin
kashira	Kashira
kashirskoye	Kashirskoye
kashkhatau	Kashkhatau
kasimov	Kasimov
kasivobara	Kasivobara
kasli	Kasli
kaspiysk	Kaspiysk
kastanayevo	Kastanayevo
kastornoye	Kastornoye
kasumkent	Kasumkent
katav-ivanovsk	Katav-Ivanovsk
kataysk	Kataysk
katunino	Katunino
katyn'	Katyn'
katyr-yurt	Katyr-Yurt
kavalerovo	Kavalerovo
kavkazskaya	Kavkazskaya
kavkazskiy	Kavkazskiy
kayakent	Kayakent
kayasula	Kayasula
kayyerkan	Kayyerkan
kaz	Kaz
kazachinskoye	Kazachinskoye
kazachka	Kazachka
kazaki	Kazaki
kazan	Kazan
kazanskaya	Kazanskaya
kazanskoye	Kazanskoye
kazinka	Kazinka
kedrovka	Kedrovka
kedrovoye	Kedrovoye
kedrovyy	Kedrovyy
kemerovo	Kemerovo
kemlya	Kemlya
kem’	Kem’
kenkhi	Kenkhi
kenzhe	Kenzhe
kerchevskiy	Kerchevskiy
kerva	Kerva
kesova gora	Kesova Gora
ketchenery	Ketchenery
ketovo	Ketovo
kevsala	Kevsala
kez	Kez
khabarovsk	Khabarovsk
khabarovsk vtoroy	Khabarovsk Vtoroy
khabary	Khabary
khabez	Khabez
khadyzhensk	Khadyzhensk
khadzhalmakhi	Khadzhalmakhi
khamamatyurt	Khamamatyurt
khambi-irze	Khambi-Irze
khandagayty	Khandagayty
khandyga	Khandyga
khanino	Khanino
khankala	Khankala
khanskaya	Khanskaya
khanty-mansiysk	Khanty-Mansiysk
kharabali	Kharabali
kharitonovo	Kharitonovo
kharlu	Kharlu
kharovsk	Kharovsk
kharp	Kharp
khasavyurt	Khasavyurt
khatanga	Khatanga
khatassy	Khatassy
khatukay	Khatukay
khazar	Khazar
khebda	Khebda
khelyulya	Khelyulya
khilok	Khilok
khima	Khima
khimki	Khimki
khindakh	Khindakh
khingansk	Khingansk
khislavichi	Khislavichi
khiv	Khiv
khlevnoye	Khlevnoye
khodz’	Khodz’
khokhlovo	Khokhlovo
khokhol’skiy	Khokhol’skiy
khokhryaki	Khokhryaki
kholbon	Kholbon
kholm	Kholm
kholm-zhirkovskiy	Kholm-Zhirkovskiy
kholmogory	Kholmogory
kholmsk	Kholmsk
kholmskiy	Kholmskiy
kholodnyy	Kholodnyy
kholtoson	Kholtoson
khomutovka	Khomutovka
khomutovo	Khomutovo
khonkholoy	Khonkholoy
khonuu	Khonuu
khor	Khor
khorinsk	Khorinsk
khorlovo	Khorlovo
khorol’	Khorol’
khoroshevo-mnevniki	Khoroshëvo-Mnevniki
khosta	Khosta
khot'kovo	Khot'kovo
khotynets	Khotynets
khovu-aksy	Khovu-Aksy
khrabrovo	Khrabrovo
khrebtovaya	Khrebtovaya
khrenovoye	Khrenovoye
khryashchevka	Khryashchevka
khuchni	Khuchni
khudoyelanskoye	Khudoyelanskoye
khulimsunt	Khulimsunt
khumalag	Khumalag
khunzakh	Khunzakh
khurba	Khurba
khuzhir	Khuzhir
khvalovo	Khvalovo
khvalynsk	Khvalynsk
khvastovichi	Khvastovichi
khvatovka	Khvatovka
khvorostyanka	Khvorostyanka
khvoynaya	Khvoynaya
kichera	Kichera
kichmengskiy gorodok	Kichmengskiy Gorodok
kideksha	Kideksha
kievskiy	Kievskiy
kikerino	Kikerino
kiknur	Kiknur
kilemary	Kilemary
kil’mez’	Kil’mez’
kimil’tey	Kimil’tey
kimovsk	Kimovsk
kimry	Kimry
kinel’	Kinel’
kinel’-cherkassy	Kinel’-Cherkassy
kineshma	Kineshma
kingisepp	Kingisepp
kipen’	Kipen’
kirensk	Kirensk
kireyevsk	Kireyevsk
kirgiz-miyaki	Kirgiz-Miyaki
kirillov	Kirillov
kirishi	Kirishi
kiritsy	Kiritsy
kirov	Kirov
kirovgrad	Kirovgrad
kirovo-chepetsk	Kirovo-Chepetsk
kirovsk	Kirovsk
kirovskaya	Kirovskaya
kirovskiy	Kirovskiy
kirs	Kirs
kirsanov	Kirsanov
kirya	Kirya
kirzhach	Kirzhach
kiselevsk	Kiselëvsk
kishcha	Kishcha
kishpek	Kishpek
kisilevsk	Kisilevsk
kislovodsk	Kislovodsk
kislyakovskaya	Kislyakovskaya
kitovo	Kitovo
kitoy	Kitoy
kiyasovo	Kiyasovo
kiyevskoye	Kiyevskoye
kizel	Kizel
kizema	Kizema
kizhinga	Kizhinga
kizilyurt	Kizilyurt
kizil’skoye	Kizil’skoye
kizlyar	Kizlyar
kizner	Kizner
kletnya	Kletnya
kletskaya	Kletskaya
klichka	Klichka
klimovo	Klimovo
klimovsk	Klimovsk
klin	Klin
klintsy	Klintsy
klyavlino	Klyavlino
klyuchevsk	Klyuchevsk
klyuchevskiy	Klyuchevskiy
klyuchi	Klyuchi
knevichi	Knevichi
knyaginino	Knyaginino
knyaze-volkonskoye	Knyaze-Volkonskoye
kobrinskoye	Kobrinskoye
kochenevo	Kochenëvo
kochevo	Kochëvo
kochki	Kochki
kochkurovo	Kochkurovo
kochubey	Kochubey
kochubeyevskoye	Kochubeyevskoye
kodino	Kodino
kodinsk	Kodinsk
kogalym	Kogalym
kokhma	Kokhma
kokino	Kokino
kokorevka	Kokorevka
kokoshkino	Kokoshkino
kokrek	Kokrek
koksovyy	Koksovyy
kokuy	Kokuy
kola	Kola
kolchanovo	Kolchanovo
kolobovo	Kolobovo
kolodeznyy	Kolodeznyy
kologriv	Kologriv
kolomenskoye	Kolomenskoye
kolomna	Kolomna
kolomyagi	Kolomyagi
kolosovka	Kolosovka
kolpashevo	Kolpashevo
kolpino	Kolpino
kolpna	Kolpna
koltubanovskiy	Koltubanovskiy
koltushi	Koltushi
kolyshley	Kolyshley
kolyubakino	Kolyubakino
kolyvan’	Kolyvan’
kol’chugino	Kol’chugino
kol’tsovo	Kol’tsovo
komarichi	Komarichi
komarikhinskiy	Komarikhinskiy
komarovo	Komarovo
komarovskiy	Komarovskiy
komendantsky aerodrom	Komendantsky aerodrom
kommunar	Kommunar
kommunarka	Kommunarka
kommunisticheskiy	Kommunisticheskiy
komsomol'skoye	Komsomol'skoye
komsomolets	Komsomolets
komsomolsk-on-amur	Komsomolsk-on-Amur
komsomol’sk	Komsomol’sk
komsomol’skiy	Komsomol’skiy
konakovo	Konakovo
kondinskoye	Kondinskoye
kondol’	Kondol’
kondopoga	Kondopoga
kondratovo	Kondratovo
kondrovo	Kondrovo
konevo	Konëvo
konobeyevo	Konobeyevo
konokovo	Konokovo
konosha	Konosha
konstantinovka	Konstantinovka
konstantinovo	Konstantinovo
konstantinovsk	Konstantinovsk
konstantinovskaya	Konstantinovskaya
konstantinovskiy	Konstantinovskiy
konstantinovskoye	Konstantinovskoye
kontenko	Kontenko
konyshevka	Konyshëvka
kopanskaya	Kopanskaya
kopeysk	Kopeysk
kopor’ye	Kopor’ye
koptevo	Koptëvo
kop’yevo	Kop’yëvo
korablino	Korablino
korenevo	Korenëvo
korenevo	Korenevo
korenovsk	Korenovsk
korfovskiy	Korfovskiy
korkino	Korkino
korkmaskala	Korkmaskala
kormezhka	Kormëzhka
kormilovka	Kormilovka
korobitsyno	Korobitsyno
korocha	Korocha
korolev	Korolev
korotchaevo	Korotchaevo
korotoyak	Korotoyak
korsakov	Korsakov
korsakovo	Korsakovo
kortkeros	Kortkeros
koryazhma	Koryazhma
korzhevskiy	Korzhevskiy
korzhovka-golubovka	Korzhovka-Golubovka
kosa	Kosa
kosaya gora	Kosaya Gora
kosh-agach	Kosh-Agach
koshekhabl’	Koshekhabl’
koshki	Koshki
koshurnikovo	Koshurnikovo
kosikha	Kosikha
kosino	Kosino
koslan	Koslan
kosmynino	Kosmynino
kostek	Kostek
kosterevo	Kosterevo
kostino	Kostino
kostomuksha	Kostomuksha
kostroma	Kostroma
kostrovo	Kostrovo
kotel’nich	Kotel’nich
kotel’niki	Kotel’niki
kotel’nikovo	Kotel’nikovo
kotik	Kotik
kotlas	Kotlas
kotlovka	Kotlovka
kotlyarevskaya	Kotlyarevskaya
kotovo	Kotovo
kotovsk	Kotovsk
kovalevskoye	Kovalevskoye
kovdor	Kovdor
kovernino	Kovernino
kovrov	Kovrov
kovylkino	Kovylkino
koyelga	Koyelga
koygorodok	Koygorodok
kozel’sk	Kozel’sk
kozeyevo	Kozeyevo
kozhevnikovo	Kozhevnikovo
kozhukhovo	Kozhukhovo
kozhva	Kozhva
kozinka	Kozinka
kozlovka	Kozlovka
kozlovo	Kozlovo
kozul’ka	Kozul’ka
kozyrevsk	Kozyrevsk
koz’modem’yansk	Koz’modem’yansk
krapivinskiy	Krapivinskiy
krapivna	Krapivna
krasavino	Krasavino
kraskino	Kraskino
kraskovo	Kraskovo
krasnaya glinka	Krasnaya Glinka
krasnaya gora	Krasnaya Gora
krasnaya gorbatka	Krasnaya Gorbatka
krasnaya gorka	Krasnaya Gorka
krasnaya pahra	Krasnaya Pahra
krasnaya polyana	Krasnaya Polyana
krasnaya poyma	Krasnaya Poyma
krasnaya yaruga	Krasnaya Yaruga
krasnaya zarya	Krasnaya Zarya
krasnoarmeysk	Krasnoarmeysk
krasnoarmeyskaya	Krasnoarmeyskaya
krasnoarmeyskiy	Krasnoarmeyskiy
krasnoarmeyskoye	Krasnoarmeyskoye
krasnoborsk	Krasnoborsk
krasnobrodskiy	Krasnobrodskiy
krasnodar	Krasnodar
krasnofarfornyy	Krasnofarfornyy
krasnogorodsk	Krasnogorodsk
krasnogorsk	Krasnogorsk
krasnogorskiy	Krasnogorskiy
krasnogorskoye	Krasnogorskoye
krasnogvardeyets	Krasnogvardeyets
krasnogvardeyskiy	Krasnogvardeyskiy
krasnogvardeyskoye	Krasnogvardeyskoye
krasnogvargeisky	Krasnogvargeisky
krasnokamensk	Krasnokamensk
krasnokamsk	Krasnokamsk
krasnokholm	Krasnokholm
krasnokholmskiy	Krasnokholmskiy
krasnokumskoye	Krasnokumskoye
krasnolesnyy	Krasnolesnyy
krasnomayskiy	Krasnomayskiy
krasnoobsk	Krasnoobsk
krasnorechenskiy	Krasnorechenskiy
krasnosel’skiy	Krasnosel’skiy
krasnoshchekovo	Krasnoshchekovo
krasnoslobodsk	Krasnoslobodsk
krasnoturansk	Krasnoturansk
krasnoturinsk	Krasnoturinsk
krasnoufimsk	Krasnoufimsk
krasnoural’sk	Krasnoural’sk
krasnousol’skiy	Krasnousol’skiy
krasnovishersk	Krasnovishersk
krasnovka	Krasnovka
krasnoyarka	Krasnoyarka
krasnoyarsk	Krasnoyarsk
krasnoyarskaya	Krasnoyarskaya
krasnoyarskiy	Krasnoyarskiy
krasnoye	Krasnoye
krasnoye selo	Krasnoye Selo
krasnoye-na-volge	Krasnoye-na-Volge
krasnozatonskiy	Krasnozatonskiy
krasnozavodsk	Krasnozavodsk
krasnozerskoye	Krasnozërskoye
krasnoznamensk	Krasnoznamensk
krasnye baki	Krasnye Baki
krasnyy	Krasnyy
krasnyy bogatyr’	Krasnyy Bogatyr’
krasnyy bor	Krasnyy Bor
krasnyy chikoy	Krasnyy Chikoy
krasnyy gulyay	Krasnyy Gulyay
krasnyy kholm	Krasnyy Kholm
krasnyy klyuch	Krasnyy Klyuch
krasnyy kommunar	Krasnyy Kommunar
krasnyy kurgan	Krasnyy Kurgan
krasnyy kut	Krasnyy Kut
krasnyy luch	Krasnyy Luch
krasnyy oktyabr’	Krasnyy Oktyabr’
krasnyy profintern	Krasnyy Profintern
krasnyy sulin	Krasnyy Sulin
krasnyy tkach	Krasnyy Tkach
krasnyy yar	Krasnyy Yar
krasnyye barrikady	Krasnyye Barrikady
krasnyye chetai	Krasnyye Chetai
krasnyye tkachi	Krasnyye Tkachi
krasyukovskaya	Krasyukovskaya
kratovo	Kratovo
krechevitsy	Krechevitsy
kremenchug-konstantinovskoye	Kremenchug-Konstantinovskoye
kremenki	Kremenki
krestovo-gorodishche	Krestovo-Gorodishche
krestovskiy ostrov	Krestovskiy ostrov
kresttsy	Kresttsy
kresty	Kresty
krivodanovka	Krivodanovka
krivosheino	Krivosheino
krivtsovo	Krivtsovo
krivyanskaya	Krivyanskaya
kromy	Kromy
kronstadt	Kronstadt
kropachevo	Kropachëvo
kropotkin	Kropotkin
krotovka	Krotovka
kruglolesskoye	Kruglolesskoye
krutaya gorka	Krutaya Gorka
krutikha	Krutikha
krutinka	Krutinka
krylovskaya	Krylovskaya
krym	Krym
krymsk	Krymsk
kshenskiy	Kshenskiy
kstovo	Kstovo
kuanda	Kuanda
kuba-taba	Kuba-Taba
kubachi	Kubachi
kubanskiy	Kubanskiy
kuban’	Kuban’
kubinka	Kubinka
kuchugury	Kuchugury
kudara-somon	Kudara-Somon
kudepsta	Kudepsta
kudeyevskiy	Kudeyevskiy
kudinovo	Kudinovo
kudrovo	Kudrovo
kudryashovskiy	Kudryashovskiy
kudymkar	Kudymkar
kugesi	Kugesi
kukmor	Kukmor
kukoboy	Kukoboy
kukushtan	Kukushtan
kulary	Kulary
kulebaki	Kulebaki
kuleshovka	Kuleshovka
kuli	Kuli
kulotino	Kulotino
kuloy	Kuloy
kultayevo	Kultayevo
kultuk	Kultuk
kulunda	Kulunda
kul’dur	Kul’dur
kumeny	Kumëny
kumertau	Kumertau
kuminskiy	Kuminskiy
kumukh	Kumukh
kumylzhenskaya	Kumylzhenskaya
kumysh	Kumysh
kunashak	Kunashak
kungur	Kungur
kungurtug	Kungurtug
kuntsevo	Kuntsevo
kun’ya	Kun’ya
kupavna	Kupavna
kupchino	Kupchino
kupino	Kupino
kuragino	Kuragino
kurakh	Kurakh
kurba	Kurba
kurchaloy	Kurchaloy
kurchanskaya	Kurchanskaya
kurchatov	Kurchatov
kurdzhinovo	Kurdzhinovo
kurgan	Kurgan
kurganinsk	Kurganinsk
kurilovo	Kurilovo
kuril’sk	Kuril’sk
kurkent	Kurkent
kurkino	Kurkino
kurlovo	Kurlovo
kurmanayevka	Kurmanayevka
kurort-darasun	Kurort-Darasun
kurortnyy	Kurortnyy
kurovskoye	Kurovskoye
kursavka	Kursavka
kursk	Kursk
kurskaya	Kurskaya
kurtamysh	Kurtamysh
kurumkan	Kurumkan
kurumoch	Kurumoch
kur’ya	Kur’ya
kur’yanovo	Kur’yanovo
kusa	Kusa
kusak	Kusak
kushchyovskaya	Kushchyovskaya
kushelevka	Kushelevka
kushnarenkovo	Kushnarënkovo
kushva	Kushva
kuskovo	Kuskovo
kusocha	Kusocha
kutulik	Kutulik
kuvandyk	Kuvandyk
kuvshinovo	Kuvshinovo
kuybyshev	Kuybyshev
kuybyshevo	Kuybyshevo
kuybyshevskiy zaton	Kuybyshevskiy Zaton
kuyeda	Kuyeda
kuytun	Kuytun
kuyvozi	Kuyvozi
kuzedeyevo	Kuzedeyevo
kuzhener	Kuzhener
kuzhenkino	Kuzhenkino
kuzhorskaya	Kuzhorskaya
kuzino	Kuzino
kuznechikha	Kuznechikha
kuznechnoye	Kuznechnoye
kuznetsk	Kuznetsk
kuzovatovo	Kuzovatovo
kuz’minki	Kuz’minki
kuz’minskiye otverzhki	Kuz’minskiye Otverzhki
kuz’molovskiy	Kuz’molovskiy
kvarkeno	Kvarkeno
kvartsitnyy	Kvartsitnyy
kvitok	Kvitok
kyakhta	Kyakhta
kyakhulay	Kyakhulay
kyra	Kyra
kyren	Kyren
kyshtovka	Kyshtovka
kyshtym	Kyshtym
kysyl-syr	Kysyl-Syr
kytmanovo	Kytmanovo
kyzburun pervyy	Kyzburun Pervyy
kyzyl	Kyzyl
kyzyl-khaya	Kyzyl-Khaya
kyzyl-mazhalyk	Kyzyl-Mazhalyk
kyzyl-oktyabr’skiy	Kyzyl-Oktyabr’skiy
labinsk	Labinsk
labytnangi	Labytnangi
ladovskaya balka	Ladovskaya Balka
ladozhskaya	Ladozhskaya
ladushkin	Ladushkin
lagan’	Lagan’
laishevo	Laishevo
lakhdenpokh’ya	Lakhdenpokh’ya
lakhtinskiy	Lakhtinskiy
lakinsk	Lakinsk
lakkha nevre	Lakkha Nëvre
lal’sk	Lal’sk
langepas	Langepas
laptevo	Laptëvo
lashma	Lashma
latnaya	Latnaya
lavrentiya	Lavrentiya
lazarev	Lazarev
lazarevskoye	Lazarevskoye
lazo	Lazo
lebedinyy	Lebedinyy
lebedyan’	Lebedyan’
lebyazh’ye	Lebyazh’ye
lechinkay	Lechinkay
ledmozero	Ledmozero
lefortovo	Lefortovo
lenina	Lenina
leninaul	Leninaul
leningradskaya	Leningradskaya
leninkent	Leninkent
leninogorsk	Leninogorsk
leninsk	Leninsk
leninsk-kuznetsky	Leninsk-Kuznetsky
leninskiy	Leninskiy
leninskiye gory	Leninskiye Gory
leninskoye	Leninskoye
lensk	Lensk
leonidovo	Leonidovo
leonovo	Leonovo
lepley	Lepley
lermontov	Lermontov
lermontovka	Lermontovka
lermontovo	Lermontovo
leshukonskoye	Leshukonskoye
leskolovo	Leskolovo
lesnikovo	Lesnikovo
lesnoy	Lesnoy
lesnoy gorodok	Lesnoy Gorodok
lesnoye	Lesnoye
lesnyye polyany	Lesnyye Polyany
lesogorsk	Lesogorsk
lesogorskiy	Lesogorskiy
lesosibirsk	Lesosibirsk
lesozavodsk	Lesozavodsk
letka	Letka
letnik	Letnik
letnyaya stavka	Letnyaya Stavka
lev tolstoy	Lev Tolstoy
levashevo	Levashevo
levashi	Levashi
levashovo	Levashovo
levikha	Levikha
levoberezhnyy	Levoberezhnyy
levokumka	Levokumka
levokumskoye	Levokumskoye
lezhnevo	Lezhnevo
lianozovo	Lianozovo
likhobory	Likhobory
likhoslavl’	Likhoslavl’
likhovskoy	Likhovskoy
likhoy	Likhoy
likino-dulevo	Likino-Dulevo
liman	Liman
linda	Linda
linevo	Linëvo
lipetsk	Lipetsk
lipin bor	Lipin Bor
lipki	Lipki
lipovtsy	Lipovtsy
lisiy nos	Lisiy Nos
liski	Liski
listvyagi	Listvyagi
listvyanka	Listvyanka
listvyanskiy	Listvyanskiy
litovko	Litovko
livadiya	Livadiya
livenka	Livenka
livny	Livny
lms	LMS
lobanovo	Lobanovo
lobnya	Lobnya
lobva	Lobva
lodeynoye pole	Lodeynoye Pole
log	Log
logovskoye	Logovskoye
loknya	Loknya
lokomotivnyy	Lokomotivnyy
lokosovo	Lokosovo
lokot’	Lokot’
lomintsevskiy	Lomintsevskiy
lomonosov	Lomonosov
lomovka	Lomovka
londoko	Londoko
lopandino	Lopandino
lopatino	Lopatino
lopatinskiy	Lopatinskiy
lorino	Lorino
losevo	Losevo
losino-petrovskiy	Losino-Petrovskiy
losinyy	Losinyy
lososina	Lososina
lotoshino	Lotoshino
loukhi	Loukhi
lovlinskaya	Lovlinskaya
lovozero	Lovozero
loyga	Loyga
loza	Loza
lozhki	Lozhki
lubyany	Lubyany
luchegorsk	Luchegorsk
luchki	Luchki
luga	Luga
lugovaya	Lugovaya
lugovskoy	Lugovskoy
lukh	Lukh
lukhovitsy	Lukhovitsy
lukhovka	Lukhovka
lukino	Lukino
luknovo	Luknovo
lukovetskiy	Lukovetskiy
lukoyanov	Lukoyanov
lunino	Lunino
luppolovo	Luppolovo
lutkun	Lutkun
luza	Luza
luzhniki	Luzhniki
luzino	Luzino
lyalichi	Lyalichi
lyambir’	Lyambir’
lyamino	Lyamino
lyangasovo	Lyangasovo
lyantor	Lyantor
lyaskelya	Lyaskelya
lyskovo	Lyskovo
lysogorskaya	Lysogorskaya
lysyye gory	Lysyye Gory
lys’va	Lys’va
lytkarino	Lytkarino
lyuban’	Lyuban’
lyubertsy	Lyubertsy
lyubim	Lyubim
lyubinskiy	Lyubinskiy
lyublino	Lyublino
lyubokhna	Lyubokhna
lyubovsho	Lyubovsho
lyubuchany	Lyubuchany
lyubytino	Lyubytino
lyudinovo	Lyudinovo
l’gov	L’gov
l’govskiy	L’govskiy
l’vovskiy	L’vovskiy
madzhalis	Madzhalis
magadan	Magadan
magan	Magan
magaramkent	Magaramkent
magas	Magas
magdagachi	Magdagachi
maginsk	Maginsk
magistral’nyy	Magistral’nyy
magnitka	Magnitka
magnitogorsk	Magnitogorsk
mago	Mago
makarov	Makarov
makar’yev	Makar’yev
makhachkala	Makhachkala
makhalino	Makhalino
makkaveyevo	Makkaveyevo
maksatikha	Maksatikha
makushino	Makushino
malakhovka	Malakhovka
malaya dubna	Malaya Dubna
malaya purga	Malaya Purga
malaya serdoba	Malaya Serdoba
malaya vishera	Malaya Vishera
malgobek	Malgobek
malino	Malino
malinovoye ozero	Malinovoye Ozero
malinovskiy	Malinovskiy
malka	Malka
malmyzh	Malmyzh
maloarkhangel’sk	Maloarkhangel’sk
malougrenevo	Malougrenevo
maloyaroslavets	Maloyaroslavets
maloyaz	Maloyaz
maloye isakovo	Maloye Isakovo
maloye verevo	Maloye Verevo
malysheva	Malysheva
malyshevo	Malyshevo
malyye derbety	Malyye Derbety
mama	Mama
mamadysh	Mamadysh
mamakan	Mamakan
mamedkala	Mamedkala
mamonovo	Mamonovo
mamontovka	Mamontovka
mamontovo	Mamontovo
manas	Manas
manaskent	Manaskent
manturovo	Manturovo
manzherok	Manzherok
manzurka	Manzurka
manzya	Manzya
marevo	Marëvo
marfino	Marfino
mari-turek	Mari-Turek
mariinsk	Mariinsk
mariinskiy posad	Mariinskiy Posad
mariyenburg	Mariyenburg
markha	Markha
markova	Markova
markovo	Markovo
marks	Marks
maromitsa	Maromitsa
martan-chu	Martan-Chu
martynovo	Martynovo
martyush	Martyush
mar’ino	Mar’ino
mar’yanovka	Mar’yanovka
masalovka	Masalovka
maslova pristan’	Maslova Pristan’
maslovka	Maslovka
maslyanino	Maslyanino
