abancay	Abancay
san javier de alpabamba	San Javier de Alpabamba
san jeronimo	San Jerónimo
san jeronimo de tunan	San Jeronimo De Tunan
san joaquin	San Joaquín
san jose	San José
san jose de lourdes	San José de Lourdes
san jose de quero	San José de Quero
san jose de secce	San José de Secce
san jose de sisa	San Jose De Sisa
san jose de ushua	San José de Ushua
san jose del alto	San José del Alto
san juan	San Juan
san juan bautista	San Juan Bautista
san juan de chacna	San Juan de Chacña
san juan de cutervo	San Juan de Cutervo
san juan de cuturapi	San Juan de Cuturapi
san juan de huirpacancha	San Juan de Huirpacancha
san juan de iris	San Juan de Iris
san juan de la virgen	San Juan de la Virgen
san juan de lanca	San Juan de Lanca
san juan de rontoy	San Juan de Rontoy
san juan de salinas	San Juan de Salinas
san juan de tantaranche	San Juan de Tantaranche
san juan de virundo	San Juan de Virundo
san juan del oro	San Juan del Oro
san lorenzo	San Lorenzo
san lorenzo de huachupama	San Lorenzo de Huachupama
san lorenzo de quinti	San Lorenzo de Quinti
san lucas ( pueblo nuevo de colan)	San Lucas ( Pueblo Nuevo de Colan)
san luis	San Luis
san luis de lucma	San Luis de Lucma
san luis de shuaro	San Luis de Shuaro
san luis grande	San Luis Grande
san marcos	San Marcos
san marcos de rocchac	San Marcos de Rocchac
san martin	San Martín
san martin	San Martin
san martin de pangoa	San Martín de Pangoa
san mateo	San Mateo
san miguel	San Miguel
san miguel de cauri	San Miguel de Cauri
san miguel de ollaraya	San Miguel de Ollaraya
san miguel de pallaques	San Miguel de Pallaques
san nicolas	San Nicolás
san pablo	San Pablo
san pablo de pillao	San Pablo de Pillao
san pedro	San Pedro
san pedro de cachi	San Pedro de Cachi
san pedro de cachora	San Pedro De Cachora
san pedro de cajas	San Pedro de Cajas
san pedro de chonta	San Pedro de Chonta
san pedro de chunan	San Pedro de Chunan
san pedro de coris	San Pedro de Coris
san pedro de larcay	San Pedro de Larcay
san pedro de lloc	San Pedro de Lloc
san pedro de pillao	San Pedro de Pillao
san pedro huamburque	San Pedro Huamburque
san rafael	San Rafael
san ramon	San Ramón
san salvador	San Salvador
san salvador de quije	San Salvador de Quije
san sebastian	San Sebastián
san silvestre de cochan	San Silvestre de Cochán
san vicente de canete	San Vicente de Cañete
sana	Saña
sanachgan	Sanachgan
sanayca	Sañayca
sancos	Sancos
sandia	Sandia
sangallaya	Sangallaya
sangarara	Sangarará
sano	Saño
santa	Santa
santa ana	Santa Ana
santa ana de huaycahuacho	Santa Ana de Huaycahuacho
santa ana de tusi	Santa Ana de Tusi
santa anita - los ficus	Santa Anita - Los Ficus
santa barbara de carhuacayan	Santa Barbara de Carhuacayan
santa catalina	Santa Catalina
santa catalina de pulan	Santa Catalina de Pulán
santa clara de cosme	Santa Clara de Cosme
santa cruz	Santa Cruz
santa cruz de andamarca	Santa Cruz de Andamarca
santa cruz de succhabamba	Santa Cruz De Succhabamba
santa elena	Santa Elena
santa eulalia	Santa Eulalia
santa isabel	Santa Isabel
santa isabel de sihuas	Santa Isabel de Sihuas
santa lucia	Santa Lucía
santa maria	Santa María
santa maria de chicmo	Santa Maria de Chicmo
santa maria del valle	Santa María del Valle
santa mercedes	Santa Mercedes
santa rita de siguas	Santa Rita de Siguas
santa rosa	Santa Rosa
santa rosa de alto yanajanca	Santa Rosa de Alto Yanajanca
santa rosa de ocopa	Santa Rosa de Ocopa
santa rosa de sacco	Santa Rosa de Sacco
santa rosa de tambo	Santa Rosa de Tambo
santa teresa	Santa Teresa
santiago	Santiago
santiago de cao	Santiago de Cao
santiago de chilcas	Santiago de Chilcas
santiago de chocorvos	Santiago de Chocorvos
santiago de chuco	Santiago de Chuco
santiago de paucaray	Santiago de Paucaray
santiago de pupuja	Santiago de Pupuja
santiago de quirehuara	Santiago de Quirehuara
santiago de surco	Santiago de Surco
santiago de tucuma	Santiago de Tucuma
santiago de tuna	Santiago de Tuna
santo domingo	Santo Domingo
santo domingo de capilla	Santo Domingo de Capilla
santo domingo de capillas	Santo Domingo de Capillas
santo domingo de los olleros	Santo Domingo de Los Olleros
santo domingo del prado	Santo Domingo del Prado
santo tomas	Santo Tomás
santo tomas	Santo Tomas
santo tomas de pata	Santo Tomás de Pata
santo toribio	Santo Toribio
sapalache	Sapalache
sapallanga	Sapallanga
sapillica	Sapillica
saposoa	Saposoa
saquena	Saquena
saramiriza	Saramiriza
sarhua	Sarhua
sartimbamba	Sartimbamba
satipo	Satipo
sauce	Sauce
saucepampa	Saucepampa
saurama	Saurama
sausa	Sausa
sayan	Sayán
sayapullo	Sayapullo
sayla	Sayla
saylla	Saylla
saysa	Saysa
sechura	Sechura
segunda jerusalen - azunguillo	Segunda Jerusalén - Azunguillo
selva alegre	Selva Alegre
sepahua	Sepahua
sexi	Sexi
shamboyacu	Shamboyacu
shanao	Shanao
shapaja	Shapaja
shatoja	Shatoja
shilla	Shilla
shirac	Shirac
shucushuyacu	Shucushuyacu
shunqui	Shunqui
shupluy	Shupluy
sibayo	Sibayo
sicaya	Sicaya
sicuani	Sicuani
sihuas	Sihuas
sillapata	Sillapata
simbal	Simbal
sina	Sina
sinchao	Sinchao
sincos	Sincos
singa	Singa
sinsicap	Sinsicap
sisa	Sisa
sitabamba	Sitabamba
sitajara	Sitajara
sivia	Sivia
socabaya	Socabaya
socos	Socos
socota	Socota
sojo	Sojo
soloco	Soloco
sondor	Sondor
sondorillo	Sondorillo
soplin vargas	Soplín Vargas
soras	Soras
soraya	Soraya
soritor	Soritor
sorochuco	Sorochuco
subtanjalla	Subtanjalla
succha	Succha
sucre	Sucre
suitucancha	Suitucancha
sullana	Sullana
sumbilca	Sumbilca
sunampe	Sunampe
supe	Supe
supe puerto	Supe Puerto
surco	Surco
surcubamba	Surcubamba
susapaya	Susapaya
suyo	Suyo
tabaconas	Tabaconas
tabaloslos	Tabaloslos
tabalosos	Tabalosos
tablazo norte	Tablazo Norte
tacabamba	Tacabamba
tacna	Tacna
talara	Talara
talavera	Talavera
tamanco	Tamanco
tamarindo	Tamarindo
tambillo	Tambillo
tambo	Tambo
tambo grande	Tambo Grande
tambo quemado	Tambo Quemado
tambobamba	Tambobamba
tambopata	Tambopata
tamburco	Tamburco
tanta	Tanta
tantamayo	Tantamayo
tantara	Tantara
tapacocha	Tapacocha
tapairihua	Tapairihua
tapay	Tapay
tapo	Tapo
tapuc	Tápuc
taquile	Taquile
taraco	Taraco
tarapoto	Tarapoto
tarata	Tarata
taray	Taray
tarica	Tarica
tarma	Tarma
tarucachi	Tarucachi
tarucani	Tarucani
tate de la capilla	Tate de La Capilla
tauca	Tauca
tauria	Tauria
taurija	Taurija
tauripampa	Tauripampa
taurisma	Taurisma
tayabamba	Tayabamba
tembladera	Tembladera
tiabaya	Tiabaya
tibillo	Tibillo
ticaco	Ticaco
ticapampa	Ticapampa
ticlacayan	Ticlacayán
ticllas	Ticllas
ticllos	Ticllos
ticrapo	Ticrapo
tinco	Tinco
tingo	Tingo
tingo de ponasa	Tingo de Ponasa
tingo de saposoa	Tingo de Saposoa
tingo maria	Tingo María
tinicachi	Tinicachi
tinta	Tinta
tintay	Tintay
tinyahuarco	Tinyahuarco
tipan	Tipán
tiquillaca	Tiquillaca
tirapata	Tirapata
tisco	Tisco
titili	Titili
tocache	Tocache
tocmoche	Tocmoche
tocota	Tocota
tomas	Tomas
tomay kichwa	Tomay Kichwa
tomepampa	Tomepampa
tongod	Tongod
torata	Torata
toraya	Toraya
toro	Toro
totora	Totora
totorales	Totorales
totos	Totos
tournavista	Tournavista
tres de diciembre	Tres de Diciembre
tres unidos	Tres Unidos
trinidad	Trinidad
trompeteros	Trompeteros
trujillo	Trujillo
tucume	Túcume
tumbaden	Tumbadén
tumbes	Tumbes
tunal	Tunal
tungasuca	Tungasuca
tupac amaru	Tupac Amaru
tupe	Tupe
tupicocha	Tupicocha
turpay	Turpay
turpo	Turpo
tuti	Tuti
ubinas	Ubinas
uchiza	Uchiza
uchumarca	Uchumarca
uchumayo	Uchumayo
uco	Uco
ucuncha	Ucuncha
ulcumayo	Ulcumayo
ullpayacu	Ullpayacu
ullulluco	Ullulluco
umachiri	Umachiri
umamarca	Umamarca
umbe	Umbe
unon	Uñón
upahuacho	Upahuacho
uranmarca	Uranmarca
urasqui	Urasqui
urb. santo domingo	Urb. Santo Domingo
urcos	Urcos
uripa	Uripa
urpay	Urpay
urubamba	Urubamba
usicayos	Usicayos
usquil	Usquil
utco	Utco
utcurarca	Utcurarca
uticyacu	Uticyacu
vegueta	Végueta
velille	Velille
velinga	Velinga
venecia	Venecia
ventanilla	Ventanilla
vicco	Vicco
vice	Vice
victor raul	Victor Raul
vilavila	Vilavila
vilca	Vilca
vilcabamba	Vilcabamba
vilcanchos	Vilcanchos
villa alto camilaca	Villa Alto Camilaca
villa kintiarina	Villa Kintiarina
villa poeta jose galvez barrenechea	Villa Poeta José Gálvez Barrenechea
villa rica	Villa Rica
villa virgen	Villa Virgen
vilque	Vilque
vilque chico	Vilque Chico
vinac	Viñac
vinchos	Vinchos
viques	Viques
viraco	Viraco
viracochan	Viracochan
virginniyoc	Virginniyoc
viru	Virú
vischongo	Vischongo
vista alegre	Vista Alegre
vitarte	Vitarte
vitis	Vitis
vitor	Vítor
vizcachane	Vizcachane
wanchaq	Wanchaq
yacus	Yacus
yamango	Yamango
yambrasbamba	Yambrasbamba
yanac	Yanac
yanaca	Yanaca
yanacancha	Yanacancha
yanahuanca	Yanahuanca
yanahuara	Yanahuara
yanahuaya	Yanahuaya
yanama	Yanama
yanaoca	Yanaoca
yanaquihua	Yanaquihua
yanas	Yanas
yangas	Yangas
yanque	Yanque
yantalo	Yantaló
yarabamba	Yarabamba
yarumayo	Yarumayo
yarusyacan	Yarusyacán
yauca	Yauca
yauli	Yauli
yauri	Yauri
yaurisque	Yaurisque
yautan	Yaután
yauya	Yauya
yauyos	Yauyos
yauyucan	Yauyucán
yorongos	Yorongos
yucay	Yucay
yunga	Yunga
yungar	Yungar
yungay	Yungay
yunguyo	Yunguyo
yupan	Yupán
yura	Yura
yuracmarca	Yuracmarca
yuracyacu	Yuracyacu
yurimaguas	Yurimaguas
yuyapichis	Yuyapichis
zapatero	Zapatero
zarumilla	Zarumilla
zepita	Zepita
zorritos	Zorritos
zurite	Zurite
