28 de noviembre	28 de Noviembre
villa maria	Villa María
villa media agua	Villa Media Agua
villa mercedes	Villa Mercedes
villa minetti	Villa Minetti
villa mugueta	Villa Mugueta
villa nueva	Villa Nueva
villa ocampo	Villa Ocampo
villa ojo de agua	Villa Ojo de Agua
villa ortuzar	Villa Ortúzar
villa paranacito	Villa Paranacito
villa paula de sarmiento	Villa Paula de Sarmiento
villa reduccion	Villa Reducción
villa regina	Villa Regina
villa roulet	Villa Roulet
villa rumipal	Villa Rumipal
villa san agustin	Villa San Agustín
villa san justo	Villa San Justo
villa santa rita	Villa Santa Rita
villa santa rosa	Villa Santa Rosa
villa sarmiento	Villa Sarmiento
villa trinidad	Villa Trinidad
villa tulumaya	Villa Tulumaya
villa tulumba	Villa Tulumba
villa union	Villa Unión
villa urquiza	Villa Urquiza
villa valeria	Villa Valeria
villaguay	Villaguay
villalonga	Villalonga
vinchina	Vinchina
vista alegre norte	Vista Alegre Norte
vista alegre sur	Vista Alegre Sur
wenceslao escalante	Wenceslao Escalante
winifreda	Winifreda
yacimientos rio turbio	Yacimientos Río Turbio
yapeyu	Yapeyú
yatayti calle	Yatayti Calle
yerba buena	Yerba Buena
yuto	Yuto
zapala	Zapala
zarate	Zárate
