'abas abad	'Abās Ābād
mahdasht	Māhdāsht
mahdasht	Mahdasht
mahdishahr	Mahdishahr
mahmudabad	Maḩmūdābād
mahmudabad nemuneh	Maḩmūdābād Nemūneh
mahmudabad-e do dang	Maḩmūdābād-e Do Dāng
mahneshan	Māhneshān
mahriz	Mahrīz
majlesi	Majlesī
makran	Mākrān
maku	Maku
maku	Makū
mal khalifeh	Māl Khalīfeh
mal-e khalifeh	Māl-e Khalīfeh
malard	Malārd
malayer	Malāyer
malekabad	Malekābād
malekabad	Mālekābād
malekan	Malekān
malekzadeh	Malekzādeh
mamqan	Mamqān
mamuniyeh	Māmūnīyeh
mand-e bala	Mand-e Bālā
manjil	Manjīl
manjilabad	Manjīlābād
mansurabad	Manşūrābād
mansuriyeh	Manşūrīyeh
manujan	Manūjān
manzariyeh	Manz̧arīyeh
marab	Mārāb
maragheh	Marāgheh
marand	Marand
maraveh tappeh	Marāveh Tappeh
margown	Mārgown
marivan	Marīvān
marjaghal	Marjaghal
markdeh	Mārkdeh
markid	Markīd
marmat	Marmat
marvast	Marvast
marvdasht	Marvdasht
maryanaj	Maryānaj
marzanabad	Marzanābād
marzijaran	Marzījarān
masal	Māsāl
mashhad	Mashhad
mashhad-e elkubeh	Mashhad-e Elkūbeh
mashkat	Mashkat
mashtan	Mashtān
masiri	Maşīrī
masjed soleyman	Masjed Soleymān
masjed-e ‘olya	Masjed-e ‘Olyā
mast-e sofla	Mast-e Soflá
mavarz	Mavarz
mazayjan	Mazāyjān
mazdeh	Mazdeh
mazga	Mazgā
mazhin	Māzhīn
mazinan	Mazīnān
mazubon-e sofla	Māzūbon-e Soflá
ma‘mulan	Ma‘mūlān
ma‘sumiyeh	Ma‘şūmīyeh
mehdi rajeh	Mehdī Rajeh
mehdiabad	Mehdīābād
mehestan	Mehestan
mehleban	Mehlebān
mehr	Mehr
mehrabad	Mehrābād
mehraban	Mehrabān
mehran	Mehrān
mehrestan	Mehrestān
mehrian	Mehrīān
mesen	Mesen
meshgin shahr	Meshgīn Shahr
meshkin dasht	Meshkīn Dasht
meybod	Meybod
meydan jiq	Meydān Jīq
meymand	Meymand
miandasht	Mīāndasht
miandoab	Mīāndoāb
mianeh	Mīāneh
mianrud	Mīānrūd
milajerd	Mīlājerd
minab	Mīnāb
minabad	Mīnābād
minudasht	Mīnūdasht
minushahr	Mīnūshahr
mirabad	Mīrābād
mirjaveh	Mīrjāveh
miyanshahr	Miyanshahr
mobarakabad	Mobārakābād
mobarakeh	Mobārakeh
mobarakeh-ye karvan	Mobārakeh-ye Karvan
moghan	Moghān
moghuyeh	Moghūyeh
mohajeran	Mohājerān
mohammad qoli akhund	Moḩammad Qolī Ākhūnd
mohammad salehi	Moḩammad Şāleḩī
mohammad shahr	Moḩammad Shahr
mohammad yar	Moḩammad Yār
mohammadabad	Moḩammadābād
mohammadan	Mohammadān
mohammadiyeh	Moḩammadīyeh
mohiabad	Moḩīābād
mohr	Mohr
mojtame‘-e maskuni-ye namju	Mojtame‘-e Maskūnī-ye Nāmjū
molkar	Molkār
molla hasan	Mollā Ḩasan
mollasani	Mollās̄ānī
montazeran	Montazeran
moradabad komb	Morādābād Komb
morghan	Morghān
morteza gerd	Morteẕá Gerd
moshkan	Moshkān
moshrageh	Moshrāgeh
mostafaabad	Moşţafáābād
mozaffarabad	Moz̧affarābād
mozaffariyeh-ye yek	Moz̧affarīyeh-ye Yek
muchesh	Mūchesh
mud	Mūd
murmuri	Mūrmūrī
musaabad	Mūsáābād
naddafiyeh	Naddāfīyeh
nafech	Nāfech
naghan-e sofla	Nāghān-e Soflá
nahand	Nahand
nahavand	Nahāvand
nahr-e mian	Nahr-e Mīān
najaf	Najaf
najafabad	Najafābād
najafshahr	Najafshahr
najmabad	Najmābād
nakhl-e ebrahimi	Nakhl-e Ebrāhīmī
nakhl-e taqi	Nakhl-e Taqī
nalivan	Nalīvān
namileh	Nāmīleh
namin	Namīn
namrur	Namrūr
naqadeh	Naqadeh
naqneh	Naqneh
naraq	Narāq
narjeh	Narjeh
narmashir	Narmāshīr
nashtarud	Nashtārūd
nasim shahr	Nasīm Shahr
nasimshahr	Nasimshahr
nasir abaad	Nasir Abaad
nasirshahr	Nasirshahr
nasrabad	Naşrābād
natanz	Naţanz
navar	Navār
nazar aqa	Naz̧ar Āqā
nazarabad	Naz̧arābād
nazarlu	Naz̧arlū
na’in	Nā’īn
negur	Negūr
nehbandan	Nehbandān
nehzatabad	Nehẕatābād
neka	Nekā
neqab	Neqāb
neshlaj	Neshlaj
ney	Ney
neyasar	Neyāsar
neyrang	Neyrang
neyriz	Neyrīz
neyshabur	Neyshābūr
nezamabad	Nez̧āmābād
nezeheh	Nezeheh
ne‘matabad	Ne‘matābād
niaraq	Nīāraq
niknamdeh	Nīknāmdeh
nikshahr	Nīkshahr
nimbeluk	Nīmbelūk
nimvar	Nīmvar
nir	Nīr
noqreh deh	Noqreh Deh
nosratabad	Noşratābād
now band	Now Band
now kandeh	Now Kandeh
now shahr	Now Shahr
nowbaran	Nowbarān
nowdezh	Nowdezh
nowjeh deh-e sadat	Nowjeh Deh-e Sādāt
nowjeyn	Nowjeyn
nowruzan	Nowrūzān
nowshahr	Nowshahr
nowsud	Nowsūd
nowzarabad	Nowz̄arābād
nukabad	Nūkābād
nukan	Nūkān
nur	Nūr
nur ‘ali beyg	Nūr ‘Alī Beyg
nurabad	Nūrābād
nushabad	Nūshābād
nushin	Nūshīn
oghlu	Oghlū
ojaksar	Ojāksar
olusjerd	Olūsjerd
omidcheh	Omīdcheh
omidiyeh	Omīdīyeh
ommatlar	Ommatlar
orumiyeh	Orūmīyeh
orzu’iyeh	Orzū’īyeh
oshnaviyeh	Oshnavīyeh
oshtorinan	Oshtorīnān
osku	Oskū
ostuh	Ostūh
otaqvar	Oţāqvar
ovrin	Ovrīn
owghan	Owghān
owltan	Owltān
owmal	Owmāl
ozgoleh	Ozgoleh
ozundarreh	Ozūndarreh
ozvar	Ozvār
pa qalat	Pā Qalāt
padegan-e manjil	Pādegān-e Manjīl
pahlavan koshi	Pahlavān Koshī
pahleh	Pahleh
pahmadan	Pahmadān
pakdasht	Pākdasht
palangabad	Palangābād
panj peykar	Panj Peykar
parak	Parak
parand	Parand
parandak	Parandak
pardanjan	Pardanjān
pardeh gusheh	Pardeh Gūsheh
pardis	Pardīs
pareh sar	Pareh Sar
pariz	Pārīz
parsabad	Pārsābād
parsian	Pārsiān
parud	Pārūd
pasabandar	Pasābandar
pasak-e sofla	Pasak-e Soflá
pasargad	Pāsārgād
paskhan	Pāskhan
paskuhan	Paskūhān
pataveh	Pātāveh
paveh	Pāveh
payam	Payām
pa’in deza	Pā’īn Dezā
pa’in mahalleh-ye ‘aliabad	Pā’īn Maḩalleh-ye ‘Alīābād
pa’in-e bazar-e rudbar	Pā’īn-e Bāzār-e Rūdbār
pelarat	Pelārat
peyghambar	Peyghambar
pir bakran	Pīr Bakrān
pir balut	Pīr Balūţ
pir bazar	Pīr Bāzār
pir kandi	Pīr Kandī
pir saqqa	Pīr Saqqā
pir sohrab	Pīr Sohrāb
pir yusefian	Pīr Yūsefīān
piranshahr	Piranshahr
pishin	Pīshīn
pishkamar	Pīshkamar
pishva	Pīshvā
pol-e gardan	Pol-e Gardan
pol-e sefid	Pol-e Sefīd
poldasht	Poldasht
poldokhtar	Poldokhtar
poli hajji	Polī Ḩājjī
posht-e pian	Posht-e Pīān
poshteh	Poshteh
pozm-e tiab	Pozm-e Tīāb
pul	Pūl
qaderabad	Qāderābād
qadimabad	Qadīmābād
qahderijan	Qahderījān
qahjavarestan	Qahjāvarestān
qahrizjan	Qahrīzjān
qalat	Qalāt
qal‘eh bin	Qal‘eh Bīn
qal‘eh ganj	Qal‘eh Ganj
qal‘eh now	Qal‘eh Now
qal‘eh now khaleseh	Qal‘eh Now Khāleseh
qal‘eh sheykh	Qal‘eh Sheykh
qal‘eh-ye hoseyniyeh	Qal‘eh-ye Ḩoseynīyeh
qal‘eh-ye khvajeh	Qal‘eh-ye Khvājeh
qal‘eh-ye nazer	Qal‘eh-ye Nāz̧er
qamsar	Qamşar
qanavat	Qanavāt
qandhar	Qandhār
qanqarmeh	Qānqarmeh
qarah aghaj	Qarah Āghāj
qarah mosalla	Qarah Moşallá
qarah qashli	Qarah Qāshlī
qarah zia’ od din	Qarah Ẕīā’ od Dīn
qarajeh-ye feyzollah	Qarājeh-ye Feyẕollāh
qarchak	Qarchak
qareh khezer	Qareh Kheẕer
qarnabad	Qarnābād
qasemabad-e gorji	Qāsemābād-e Gorjī
qasemabad-e kuchak	Qāsemābād-e Kūchak
qasr-e qand	Qaşr-e Qand
qasr-e shirin	Qaşr-e Shīrīn
qayah bashi	Qayah Bāshī
qazanchi	Qazānchī
qazi jahan	Qāẕī Jahān
qazian bala mahalleh	Qāẕīān Bālā Maḩalleh
qazvin	Qazvin
qa’em shahr	Qā’em Shahr
qa’emiyeh	Qā’emīyeh
qa’en	Qā’en
qebchaq	Qebchāq
qeshlaq	Qeshlāq
qeshlaq-e charkhlu	Qeshlāq-e Charkhlū
qeshlaq-e chelqa’i	Qeshlāq-e Chelqā’ī
qeshlaq-e pa’in	Qeshlāq-e Pā’īn
qeshm	Qeshm
qey‘araq	Qey‘araq
qiamdasht	Qīāmdasht
qidar	Qīdar
qir	Qīr
qods	Qods
qom	Qom
qoroq	Qoroq
qorqi-ye sofla	Qorqī-ye Soflá
qoruq	Qorūq
qorveh	Qorveh
qorveh-ye dargazin	Qorveh-ye Dargazīn
qotbabad	Qoţbābād
quchan	Qūchān
qudejan	Qūdejān
quruq	Qūrūq
rabor	Rābor
radekan	Rādekān
rafsanjan	Rafsanjān
rahal	Rahāl
rahdar	Rāhdār
rahimabad	Raḩīmābād
ramhormoz	Rāmhormoz
ramian	Rāmīān
ramin	Ramīn
ramjerd	Rāmjerd
ramjin	Rāmjīn
ramnet	Ramnet
ramsar	Rāmsar
ramsheh	Rāmsheh
ramshir	Rāmshīr
rasak	Rāsak
rasht	Rasht
rashtabad	Rashtābād
rastab	Rāstāb
rasulabad-e sofla	Rasūlābād-e Soflá
ravansar	Ravānsar
ravar	Rāvar
ravesht-e bozorg	Ravesht-e Bozorg
rayen	Rāyen
razan	Razan
razhan	Rāzhān
razi	Raẕī
razianeh	Rāzīāneh
razini	Razīnī
razkan	Razkān
rehnan	Rehnān
reshtaqun	Reshtaqūn
rey	Rey
reyeh	Reyeh
reyhanabad	Reyḩānābād
rezvanshahr	Reẕvānshahr
rezveh	Rezveh
riz	Rīz
robat karim	Robāţ Karīm
roknabad	Roknābād
roshtkhvar	Roshtkhvār
rostam kola	Rostam Kolā
rostamabad	Rostamābād
rud bardeh	Rūd Bardeh
rud pish	Rūd Pīsh
rudak	Rūdak
rudan	Rūdān
rudbar	Rūdbār
rudboneh	Rūdboneh
rudehen	Rūdehen
rudsar	Rūdsar
runiz	Rūnīz
runiz-e sofla	Rūnīz-e Soflá
ruyan	Rūyān
sabbashahr	Şabbāshahr
sabzevar	Sabzevar
sadrabad	Şadrābād
safadasht	Ṣafādasht
safashahr	Şafāshahr
safiabad	Şafīābād
saggez abad	Saggez Ābād
sagzi	Sagzī
sahand	Sahand
saheb	Şāḩeb
sahneh	Şaḩneh
salafchegan	Salafchegān
salami	Salāmī
saleh shahr	Ṣāleḥ Shahr
salehabad	Şāleḩābād
salehieh	Ṣāleḥīeh
sali kandeh	Sālī Kandeh
salmanshahr	Salmānshahr
salmas	Salmās
samal-e jonubi	Samal-e Jonūbī
samal-e shomali	Samal-e Shomālī
saman	Sāmān
samen	Sāmen
samsami	Şamşāmī
sanandaj	Sanandaj
sang tarashan	Sang Tarāshān
sang-e tajan	Sang-e Tajan
sangachin	Sangāchīn
sangan	Sangān
sangar	Sangar
sankhvast	Sankhvāst
saqqez	Saqqez
sar asiab-e shesh	Sar Āsīab-e Shesh
sar chahan-e janubi	Sar Chāhān-e Janūbī
sar gol	Sar Gol
sar howzak	Sar Ḩowẕak
sar kahuran	Sar Kahūrān
sar korreh	Sar Korreh
sar mashhad	Sar Mashhad
sara'eyn	Sara'eyn
sarab	Sarāb
sarab bagh	Sarāb Bāgh
sarab hammam	Sarāb Ḩammām
sarab-e dureh	Sarāb-e Dūreh
sarab-e taveh	Sarāb-e Tāveh
sarableh	Sarābleh
sarakhs	Sarakhs
saravan	Sarāvān
saray	Sarāy
sarayan	Sarāyān
sarbandan	Sarbandān
sarbaz	Sarbāz
sarbisheh	Sarbīsheh
sardang-e komiz	Sardang-e Komīz
sardaran	Sardārān
sardasht	Sardasht
sardrud	Sardrūd
sari	Sari
sarju’iyeh	Sarjū’īyeh
sarkhonkalateh	Sarkhonkalāteh
sarli makhtum	Sārlī Makhtūm
sarmast	Sarmast
saroleh	Saroleh
sarpol-e zahab	Sarpol-e Z̄ahāb
sarras	Sarrās
sartaf	Sarţāf
sarteshniz	Sarteshnīz
saru kola	Sārū Kolā
saruk	Sarūk
saruq	Sārūq
sarvabad	Sarvābād
sarvestan	Sarvestān
sarzeh	Sarzeh
satlu	Sātlū
savad jan	Savād Jān
saveh	Sāveh
sa‘adat shahr	Sa‘ādat Shahr
sa‘dabad	Sa‘dābād
sa‘idabad	Sa‘īdābād
sedeh	Sedeh
sedeh lanjan	Sedeh Lanjān
sedeyen-e yek	sedeyen-e Yek
sefid dasht	Sefīd Dasht
sefidar	Sefīdār
sefideh khan	Sefīdeh Khān
sefidshahr	Sefidshahr
seftejan	Seftejān
seh gel	Seh Gel
seh talvan	Seh Talvan
semirom	Semīrom
semnan	Semnan
sen sen	Sen Sen
sengan	Sengān
senjan	Senjān
senowbar	Şenowbar
sepidar	Sepīdār
seqanliq	Seqānlīq
seraj kola	Serāj Kolā
serej	Serej
setaq	Setaq
seyah cheshmeh	Seyah Cheshmeh
seyyed nur	Seyyed Nūr
seyyed rahman	Seyyed Raḩmān
seyyed shavur	Seyyed Shāvūr
seyyed taj od din	Seyyed Tāj od Dīn
seyyedan	Seyyedān
shabab	Shabāb
shabankareh	Shabānkāreh
shabestar	Shabestar
shadbad-e mashayekh	Shādbād-e Mashāyekh
shadbad-e ‘olya	Shādbād-e ‘Olyā
shadegan	Shādegān
shaft	Shaft
shahbaz	Shahbāz
shahdad	Shahdād
shahedshahr	Shāhedshahr
shahid kamju	Shahīd Kāmjū
shahin dezh	Shāhīn Dezh
shahin shahr	Shāhīn Shahr
shahini	Shāhīnī
shahpurabad	Shāhpūrābād
shahr deraz	Shahr Derāz
shahr kola	Shahr Kolā
shahr-e babak	Shahr-e Bābak
shahr-e emam	Shahr-e Emām
shahr-e kord	Shahr-e Kord
shahr-e pir	Shahr-e Pīr
shahr-e sadra	Shahr-e Ṣadrā
shahrabad	Shahrabad
shahrak-e almahdi	Shahrak-e Almahdī
shahrak-e baba salman	Shahrak-e Bābā Salmān
shahrak-e bakharz	Shahrak-e Bākharz
shahrak-e darya kenar	Shahrak-e Daryā Kenār
shahrak-e emam	Shahrak-e Emam
shahrak-e emam hasan	Shahrak-e Emām Ḩasan
shahrak-e goldasteh	Shahrak-e Goldasteh
shahrak-e ja‘fariyeh	Shahrak-e Ja‘farīyeh
shahrak-e kheybar	Shahrak-e Kheybar
shahrak-e kuluri	Shahrak-e Kūlūrī
shahrak-e madani	Shahrak-e Madanī
shahrak-e mohajerin	Shahrak-e Mohājerīn
shahrak-e mohandesi-ye zera‘i	Shahrak-e Mohandesī-ye Zerā‘ī
shahrak-e nahal va bazr	Shahrak-e Nahāl Va Baz̄r
shahrak-e namju	Shahrak-e Nāmjū
shahrak-e pabedana	Shahrak-e Pābedānā
shahrak-e pardisan	Shahrak-e Pardīsān
shahrak-e qamsar	Shahrak-e Qamşar
shahrak-e qods	Shahrak-e Qods
shahrak-e salman farsi	Shahrak-e Salmān Fārsī
shahrak-e shahid mohammad nuri	Shahrak-e Shahīd Moḩammad Nūrī
shahrak-e shatarreh	Shahrak-e Shāţarreh
shahrak-e taleqani	Shahrak-e Ţāleqānī
shahrak-e towhid	Shahrak-e Towḩīd
shahrak-e ‘ala’in	Shahrak-e ‘Alā’īn
shahre jadide andisheh	Shahre Jadide Andisheh
shahrestan	Shahrestān
shahreza	Shahreẕā
shahriar	Shahrīār
shahrud	Shahrud
shal	Shāl
shalamzar	Shalamzār
shalash	Shālāsh
shalman	Shalmān
shamil-e bala	Shamīl-e Bālā
shamsabad	Shamsābād
shamsabad-e borzu	Shamsābād-e Borzū
shamsi	Shamsī
shapur jan	Shāpūr Jān
sharafat	Sharāfat
sharafkhaneh	Sharafkhāneh
sharifabad	Sharīfābād
shazand	Shāzand
sha‘abjereh	Sha‘abjereh
shendabad	Shendābād
shenqar	Shenqar
shesh bahreh-ye bala	Shesh Bahreh-ye Bālā
sheshtamad	Sheshtamad
shevir	Shevīr
sheyban	Sheybān
sheykh shaban	Sheykh Shabān
shir gah	Shīr Gāh
shir kola	Shīr Kolā
shir mahalleh	Shīr Maḩalleh
shiramin	Shīrāmīn
shiraz	Shīrāz
shiraz	Shiraz
shirud	Shīrūd
shirvan	Shīrvān
shirvaneh	Shīrvāneh
shishavan	Shīshavān
shiveh	Shīveh
shoja‘	Shojā‘
shorudan	Shorūdān
shotorak	Shotorak
showt	Showţ
shumia	Shūmīā
shur daraq	Shūr Daraq
shurak-e maleki	Shūrak-e Malekī
shureki	Shūrekī
shurin	Shūrīn
shush	Shūsh
shushtar	Shūshtar
siah baz	Sīah Bāz
siahkal	Sīāhkal
siasak	Sīāsak
silvana	Sīlvānā
simin shahr	Sīmīn Shahr
sin	Sīn
sirjan	Sirjan
sirkan	Sīrkān
sis	Sīs
sisakht	Sīsakht
siyah banu’iyeh	Sīyah Banū’īyeh
siyahu	Sīyāhū
soghad	Şoghād
sojas	Sojās
soleh bon	Soleh Bon
soltanabad	Solţānābād
soltaniyeh	Solţānīyeh
sonqor	Sonqor
sonqorabad	Sonqorābād
sorkhab	Sorkhāb
sorkheh	Sorkheh
sorkhrud-e gharbi	Sorkhrūd-e Gharbī
sowme‘eh sara	Şowme‘eh Sarā
su kahriz	Sū Kahrīz
subashi	Sūbāshī
sud jan	Sūd Jān
sufian	Şūfīān
suha	Sūhā
suleqan	Sūleqān
sura posht	Sūrā Posht
surak	Sūrak
suran	Sūrān
sureshjan	Sūreshjān
surian	Surian
susangerd	Sūsangerd
suza	Sūzā
tabadakan	Tabādakān
tabaqdeh	Ţabaqdeh
tabarteh	Tabarteh
tabas	Tabas
tabazin	Tabāzīn
tabl	Ţabl
tabriz	Tabriz
tad	Ţād
tafihan	Tafīhān
tafresh	Tafresh
taft	Taft
taher gurab	Ţāher Gūrāb
taherabad	Ţāherābād
tajrish	Tajrīsh
takab	Takāb
takestan	Tākestān
takht	Takht
takht-e qeysar	Takht-e Qeyşar
taleb abad	Ţāleb ābād
taleb khan	Ţāleb Khān
talem seh shanbeh	Ţālem Seh Shanbeh
taleqan	Ţāleqān
talesh mahalleh	Tālesh Maḩalleh
tall bumeh	Tall Būmeh
tall khosrow	Tall Khosrow
talur	Talūr
tamer-e qarah quzi	Tamer-e Qarah Qūzī
tankaman	Tankamān
taqanak	Ţāqānak
tarbor-e lay bisheh	Tarbor-e Lāy Bīsheh
tarsiab	Tarsīāb
tarvizak	Ţarvīzak
tashkuh-e sofla	Tāshkūh-e Soflá
tasuj	Ţasūj
taybad	Tāybād
tazehabad	Tāzehābād
tazehabad kola	Tāzehābād Kolā
tazian	Tāzīān
tehran	Tehran
telkheh char	Telkheh Chār
teshniz	Teshnīz
til	Tīl
tir tash	Tīr Tāsh
tiran	Tīrān
tiranchi	Tīrānchī
tirur	Tīrūr
tis	Ţīs
tizab	Tīzāb
tomban	Tombān
tonderan	Tonderān
tonekabon	Tonekābon
torbat-e heydariyeh	Torbat-e Ḩeydarīyeh
torbat-e jam	Torbat-e Jām
torkabad	Torkābād
torkalaki	Torkālakī
torkaman	Torkamān
torqabeh	Ţorqabeh
torud	Torūd
towlash	Ţowlash
tula	Ţūlā
turchi	Tūrchī
turdan	Ţūrdān
tureh	Tūreh
turquzabad	Ţūrqūzābād
tus-e sofla	Tūs-e Soflá
tut-e nadeh	Tūt-e Nadeh
tutkabon	Tūtkābon
tutli-ye kuchak	Tūtlī-ye Kūchak
tuyserkan	Tūyserkān
vafs	Vafs
vahdattiyeh	Vaḩdattīyeh
vahidiyeh	Vaḩīdīyeh
valashahr	Vālāshāhr
valiabad	Valīābād
vali‘asr	Valī‘aşr
valuja	Valūjā
vanak	Vanak
vanan	Vānān
vanlujeq	Vānlūjeq
vanush	Vanūsh
var	Vār
varamin	Varāmīn
varavi	Varāvī
varayneh	Varāyneh
varazqan	Varazqān
vardanjan	Vardanjān
varjavi	Varjavī
varmahang	Varmahang
varnamkhvast	Varnāmkhvāst
varzaneh	Varzaneh
vasian	Vasīān
vazirabad	Vazīrābād
velayat rud	Velāyat Rūd
veyar	Veyar
veys	Veys
viznah	Vīznah
yabarak	Yabārak
yalabad	Yalābād
yalquz aghaj	Yālqūz Āghāj
yamchi	Yāmchī
yan cheshmeh	Yān Cheshmeh
yasuj	Yasuj
yazd	Yazd
yazdekan	Yazdekān
yazdel	Yazdel
ya‘qub lengeh	Ya‘qūb Lengeh
yekeh tut	Yekeh Tūt
yengi emam	Yengī Emām
yengi kand-e seyyedlar	Yengī Kand-e Seyyedlar
yesaqi	Yesāqī
yolmeh salian	Yolmeh Sālīān
yunaki	Yūnakī
yusef reza	Yūsef Reẕā
yusefabad	Yūsefābād
yusefabad-e qavam	Yūsefābād-e Qavām
zabol	Zābol
zafreh	Zafreh
zagh marz	Zāgh Marz
zahed shahr	Zāhed Shahr
zahedan	Zahedan
zakiabad	Zakīābād
zamanabad	Zamānābād
zangiabad	Zangīābād
zangiyan	Zangīyān
zanjan	Zanjan
zanjireh-ye ‘olya	Zanjīreh-ye ‘Olyā
zarach	Zārach
zarand	Zarand
zargan-e karaneh	Zargān-e Karāneh
zarjan	Zarjān
zarki	Zarkī
zarnaq	Zarnaq
zarqan	Zarqān
zarrin shahr	Zarrīn Shahr
zarrinabad	Zarrīnābād
zavat-e sharq	Z̄avāt-e Sharq
zaviyeh	Zāviyeh
zaviyeh-e hasan khan	Zāvīyeh-e Ḩasan Khān
zavosht	Zāvosht
zazeran	Zāzerān
zefreh	Zefreh
zehak	Zehak
zehkalut	Zehkalūt
zehuki	Zehūkī
zendeh jan	Zendeh Jān
zenivand	Zenīvand
zeyabar	Zeyābar
zeydabad	Zeydābād
ziaran	Zīārān
ziarat	Zīārat
ziarat ‘ali	Zīārat ‘Alī
zia’abad	Ẕīā’ābād
ziba kenar	Zībā Kenār
zibashahr	Zibashahr
zir ab	Zīr Āb
zonuz	Zonūz
zudan	Zūdān
‘abbasa	‘Abbāsā
‘abbasabad	‘Abbāsābād
‘abbasabad-e faramushan	‘Abbāsābād-e Farāmūshān
‘abd ol mow’men	‘Abd ol Mow’men
‘abdol khan-e pa'in	‘Abdol Khān-e Pā'īn
‘abdollahabad	‘Abdollāhābād
‘alamardasht	‘Alāmardasht
‘alaviyeh	‘Alavīyeh
‘ali beyglu	‘Alī Beyglū
‘ali shahr	‘Ālī Shahr
‘ali ‘arab	‘Alī ‘Arab
‘aliabad	‘Alīābād
‘aliabad guneh	‘Alīābād Gūneh
‘aliabad-e kenar shahr	‘Alīābād-e Kenār Shahr
‘ameri	‘Āmerī
‘anbarabad	‘Anbarābād
‘anbaran	‘Anbarān
‘asgaran	‘Asgarān
‘azab	‘Az̄āb
‘eyn-e do	‘Eyn-e Do
‘ezzatabad	‘Ezzatābād
‘omman	‘Ommān
