4 arm (kharwali)	4 Arm (Kharwali)
chakia	Chākia
chakia	Chakia
chakkarappalli	Chakkārappalli
chaklasi	Chaklāsi
chakradharpur	Chakradharpur
chakrata	Chakrāta
chaksu	Chaksu
chakulia	Chākuliā
chalakilakakara	Chālakilakākara
chalala	Chalāla
chalantapara pt iv	Chalantapara Pt IV
chalisgaon	Chalisgaon
challakere	Challakere
challapalle	Challapalle
chalthan	Chalthan
chamba	Chamba
chamkor	Chāmkor
chammanad	Chammanād
champa	Chāmpa
champawat	Champawat
champua	Chāmpua
chamrajnagar	Chamrajnagar
chanaje	Chanaje
chanari	Chanāri
chanasma	Chānasma
chanda	Chānda
chandameta	Chāndāmeta
chandan hola	Chandan Hola
chandannagar	Chandannagar
chandapuram	Chandāpuram
chandarun	Chāndarun
chandauli	Chandauli
chandbali	Chāndbāli
chandel	Chandel
chanderi	Chanderi
chandia	Chandia
chandigarh	Chandigarh
chandil	Chāndil
chandili	Chandili
chandiman	Chandīman
chandkapur	Chandkapur
chandla	Chandla
chandor	Chāndor
chandpur	Chāndpur
chandrakona	Chandrakona
chandrapada	Chandrapada
chandrapur	Chandrapur
chandrapur baghicha	Chandrapur Baghicha
chandrapura	Chandrapura
chanduasi	Chanduasi
chandur	Chāndūr
chandur	Chāndur
chandur	Chandūr
chandur bazar	Chāndūr Bāzār
chandwa	Chandwā
changanacheri	Changanācheri
changar talai	Changar Talai
changlang	Changlang
changsari	Chāngsāri
channagiri	Channagiri
channapatna	Channapatna
channarayapatna	Channarāyapatna
chanod	Chanod
chanpatia	Chanpatia
chantongia	Chantongia
chapakhowa town	Chapakhowa Town
chapar	Chāpar
chapra	Chāpra
chapra	Chapra
charama	Charāma
charhi	Charhi
charibatia	Charibatia
charingia gaon	Charingia Gaon
charipara	Charipara
charkhari	Charkhāri
charkhi dadri	Charkhi Dādri
charthawal	Charthāwal
chas	Chas
chatakonda	Chātakonda
chathirareddipatti	Chathirareddipatti
chatibor gaon	Chatibor Gaon
chatra	Chatrā
chatrapatti	Chatrapatti
chaumu	Chaumu
chaupal	Chaupāl
chauparan	Chaupāran
chaurai	Chaurai
chautapal	Chautāpal
chavara	Chavara
chavutapalem	Chavutapālem
chawand	Chawand
chechat	Chechat
chegunta	Chegunta
chekkiad	Chekkiād
chekonidhara	Chekonidhara
chelakara	Chēlakara
chelamartam	Chelamartam
chelambra	Chelambra
chelora	Chelora
chelur	Chelūr
chemancheri	Chēmanchēri
chembagaramanpudur	Chembagarāmanpudūr
chemmumiahpet	Chemmumiahpet
chenar village	Chenar Village
chendamangalam	Chendamangalam
chendrappini	Chendrappini
chengala	Chengala
chengalam	Chengalam
chengalpattu	Chengalpattu
chengam	Chengam
chengamanad	Chengamanād
chengannur	Chengannūr
chengappalli	Chengappalli
chennagiri	Chennagiri
chennai	Chennai
chennamukkapalle	Chennamukkapalle
chennasamudram	Chennasamudram
chennimalai	Chennimalai
chennithala	Chennithala
cheppad	Cheppad
cheranellur	Cheranellūr
cheranmahadevi	Cheranmahadevi
cheriyamundam	Cheriyamundam
cherlopalle	Cherlopalle
cherpu	Cherpu
cherpulassery	Cherpulassery
cherra	Cherra
cherrapunjee	Cherrapunjee
cherthala	Cherthala
cherukavu	Cherukavu
cherukunnu	Cherukunnu
cheruthazham	Cheruthazham
cheruthuruthi	Cheruthuruthi
cheruvannur	Cheruvannur
chetlat	Chetlat
chetput	Chetput
chettinayakkanpatti	Chettināyakkanpatti
chettipalaiyam	Chettipālaiyam
chetwayi	Chetwayi
chevvoor	Chevvoor
cheyyar	Cheyyar
cheyyur	Cheyyur
chhabra	Chhabra
chhachhrauli	Chhachhrauli
chhala	Chhala
chhanera	Chhanerā
chhapar	Chhāpar
chhapera	Chhapera
chhapi	Chhāpi
chhapra	Chhapra
chhaprauli	Chhaprauli
chharra	Chharra
chhata	Chhāta
chhatapur	Chhātāpur
chhatarpur	Chhatarpur
chhatha	Chhatha
chhatral ina	Chhatral INA
chhatrapur	Chhatrapur
chhawala	Chhāwāla
chhaya	Chhaya
chhibramau	Chhibrāmau
chhindwara	Chhindwāra
chhipa barod	Chhipa Barod
chhiri	Chhiri
chhota gobindpur	Chhota Gobindpur
chhota udepur	Chhota Udepur
chhoti sadri	Chhoti Sādri
chhuikhadan	Chhuīkhadān
chhura	Chhura
chhuria kalan	Chhuria Kalān
chhurikala	Chhurikala
chhutmalpur	Chhutmalpur
chicalim	Chicalim
chichli	Chichli
chicholi	Chicholi
chidambaram	Chidambaram
chidawa	Chidawa
chidiga	Chidiga
chik ballapur	Chik Ballāpur
chik banavar	Chik Bānavar
chika	Chīka
chikhaldara	Chikhaldara
chikhla	Chikhla
chikhlakasa	Chikhlākasa
chikhli	Chikhli
chikhli kalan	Chikhli Kalān
chikiti	Chikiti
chikjajur	Chikjājūr
chikkabidarakallu	Chikkabidarakallu
chikmagalur	Chikmagalūr
chiknayakanhalli	Chiknāyakanhalli
chikodi	Chikodi
chilakalurupet	Chilakalūrupet
chilla saroda khadar	Chilla Saroda Khadar
chilla soroda bangar	Chilla Soroda Bāngar
chillupar	Chillupār
chiloda	Chiloda
chima	Chīma
chiman	Chiman
chimbel	Chimbel
chinchani	Chinchani
chinchinim	Chinchinim
chincholi	Chincholi
chineni	Chineni
chingoli	Chingoli
chinna andankovil	Chinna Āndānkovil
chinna kalaiyamputtur	Chinna Kalaiyamputtūr
chinna salem	Chinna Salem
chinnachintakunta	Chinnachintakunta
chinnachowk	Chinnachowk
chinnakkampalaiyam	Chinnakkāmpālaiyam
chinnalapatti	Chinnalapatti
chinnamanali	Chinnamanali
chinnamanur	Chinnamanūr
chinnampalaiyam	Chinnāmpālaiyam
chinnamudalippatti	Chinnamudalippatti
chinnasekkadu	Chinnasekkadu
chinnatadagam	Chinnatadāgam
chinnavadampatti	Chinnavādampatti
chinniyampalaiyam	Chinniyampālaiyam
chinnur	Chinnūr
chintalavalasa	Chintalavalasa
chintamani	Chintamani
chintapalle	Chintapalle
chiplun	Chiplūn
chipurupalle	Chīpurupalle
chirakkal	Chirakkal
chirala	Chīrāla
chiramanangad	Chiramanangād
chiranellur	Chiranellūr
chirgaon	Chirgaon
chiria	Chiria
chirkunda	Chirkunda
chirmiri	Chirmiri
chitaguppa	Chitaguppa
chitapur	Chītāpur
chitarpur	Chitarpur
chitegaon	Chitegaon
chitkul	Chitkul
chitradurga	Chitradurga
chitrakoot dham	Chitrakoot Dham
chittanda	Chittanda
chittanur	Chittanūr
chittapari	Chittapāri
chittaranjan	Chittaranjan
chittarkonda	Chittarkonda
chittayankottai	Chittayankottai
chittilapilli	Chittilapilli
chittode	Chittode
chittoor	Chittoor
chittorgarh	Chittorgarh
chittur	Chittūr
chityal	Chityāl
chockli	Chockli
chodavaram	Chodavaram
choglamsar	Choglamsar
chokkanathapuram	Chokkanāthapuram
cholapuram	Cholapuram
chomon	Chomon
choornikkara	Choornikkara
choozhal	Choozhal
chopan	Chopan
chopda	Chopda
chorod	Chōrōd
chorwad	Chorwād
chota haibor	Chota Haibor
chotila	Chotila
chottanikkara	Chottanikkara
choudwar	Choudwar
chowari	Chowari
chowwara	Chowwara
chuari khas	Chuāri Khās
chuganwan	Chugānwān
chuhal	Chuhal
chulissheri	Chulisshēri
chumukedima	Chumukedima
chunar	Chunār
chunchupally	Chunchupally
chundal	Chūndal
churachandpur	Churāchāndpur
churhat	Churhat
churi	Churi
churu	Chūru
clement town	Clement Town
closepet	Closepet
coimbatore	Coimbatore
colachel	Colachel
colgong	Colgong
colonelganj	Colonelganj
colovale	Colovale
colva	Colva
contai	Contai
coonoor	Coonoor
corlim	Corlim
cortalim	Cortalim
covelong	Covelong
cuddalore	Cuddalore
cumbarjua	Cumbarjua
cumbum	Cumbum
cuncolim	Cuncolim
curchorem	Curchorem
curti	Curti
curtorim	Curtorim
cuttack	Cuttack
dabhel	Dabhel
dabhoi	Dabhoi
dabhol	Dābhol
daboh	Daboh
dabolim	Dabolim
dabra	Dabra
dabwali	Dabwāli
dad	Dād
dadhapatna	Dadhapatna
dadra	Dadra
dadri	Dādri
dagshai	Dagshai
dahali	Dahali
dahanu	Dāhānu
dahegam	Dahegām
daheli	Daheli
dahi	Dahi
daitari	Daitari
dakor	Dākor
dalavaipatti	Dalavaipatti
dalavaypuram	Dalavaypuram
dalhousie	Dalhousie
dalkola	Dalkola
dalli rajhara	Dalli Rājhara
dalmau	Dalmau
dalsingh sarai	Dalsingh Sarai
dalupura	Dalūpura
dam dam	Dam Dam
damalerimuttur	Dāmalerimuttūr
daman	Daman
damara patpara	Damara Patpara
damnagar	Dāmnagar
damodarpur	Damodarpur
damoh	Damoh
damonojodi	Damonojodi
damua	Damua
danara	Danara
dandedih	Dāndedih
dandeli	Dandeli
dandi	Dandi
danguwapasi	Danguwapasi
dankaur	Dankaur
danta	Danta
dantewara	Dantewāra
dapoli	Dāpoli
daporijo	Daporijo
dappar	Dappar
darapur	Dārapur
darasuram	Dārāsuram
darbhanga	Darbhanga
dari	Dari
dariapur	Dariāpur
dariawad	Dariāwad
dariba	Dariba
daringbarhi	Dāringbārhi
dariya	Dariya
darjiling	Dārjiling
darlawn	Darlawn
darsi	Darsi
darwha	Dārwha
daryapur	Daryāpur
daryapur kalan	Daryāpur Kalān
dasarahalli	Dasarahalli
dasinayakkanpatti	Dāsināyakkanpatti
dasiripuram	Dāsiripuram
dasna	Dāsna
dasnapur	Dasnapur
daspalla	Daspalla
dasuya	Dasūya
dataganj	Dātāganj
datia	Datia
dattapur	Dattāpur
daudnagar	Daudnagar
daulatabad	Daulatābād
daulatpur	Daulatpur
daund	Daund
daundi lohara	Daundi Lohara
daurala	Daurāla
dausa	Dausa
davangere	Davangere
davorlim	Davorlim
davrapada	Dāvrapāda
dayal bagh	Dayāl Bāgh
dayal pur	Dayal Pur
dayapar	Dayapar
debipur	Debīpur
dediapada	Dediāpāda
deesa	Deesa
defence colony	Defence Colony
deglur	Deglur
dehari	Dehari
dehradun	Dehradun
dehri	Dehri
dehu	Dehu
dehu road	Dehu Road
dekan	Dekan
delhi	Delhi
delhi cantonment	Delhi Cantonment
delvada	Delvāda
delwara	Delwāra
denkanikota	Denkanikota
deoband	Deoband
deodora	Deodora
deogarh	Deogarh
deoghar	Deoghar
deogiri	Deogiri
deohra	Deohra
deokar	Deokar
deolali	Deolāli
deolali	Deolali
deoli	Deoli
deolimet	Deolimet
deomali	Deomali
deoranian	Deoraniān
deori	Deori
deori	Deorī
deori khas	Deori Khās
deoria	Deoria
depalpur	Depālpur
dera colliery township	Dera Colliery Township
dera gopipur	Dera Gopipur
dera mandi	Dera Māndi
dera nanak	Derā Nānak
dergaon	Dergaon
desaiganj	Desāīganj
desamangalam	Dēsamangalam
deshnoke	Deshnoke
desula	Desūla
desur	Desūr
deulgaon raja	Deūlgaon Rāja
devadanapatti	Devadanapatti
devadurga	Devadurga
devakottai	Devakottai
devanahalli	Devanahalli
devaprayag	Devaprayāg
devapur	Devāpur
devarkonda	Devarkonda
devarshola	Devarshola
devasthanam	Devasthanam
devendranagar	Devendranagar
dever inder bug	Dever Inder Bug
devgadh bariya	Devgadh Bāriya
devgarh	Devgarh
devikapuram	Devikāpuram
devipattinam	Devipattinam
devrukh	Devrukh
devsar	Devsar
dewa	Dewā
dewas	Dewas
dhaka	Dhāka
dhaki	Dhāki
dhakuakhana	Dhakuākhanā
dhali	Dhali
dhamanagar	Dhamanagar
dhamda	Dhamda
dhamnod	Dhāmnod
dhampur	Dhāmpur
dhamtari	Dhamtari
dhana	Dhāna
dhanal	Dhānal
dhanaula	Dhanaula
dhanaura	Dhanaura
dhanbad	Dhanbad
dhandhuka	Dhandhuka
dhanegaon	Dhanegaon
dhanera	Dhanera
dhanpuri	Dhanpuri
dhanwar	Dhanwār
dhar	Dhār
dharamjaigarh	Dharamjaigarh
dharampur	Dharampur
dharampuri	Dharampuri
dharamsala	Dharamsala
dharangaon	Dharangaon
dharapur	Dharapur
dharapuram	Dharapuram
dharashiv	Dharashiv
dharavi	Dhārāvi
dharchula	Dhārchula
dhari	Dhāri
dhariwal	Dhāriwāl
dharmabad	Dharmābād
dharmadam	Dharmadam
dharmanagar	Dharmanagar
dharmapuram	Dharmapuram
dharmapuri	Dharmapuri
dharmaragar	Dharmaragar
dharmaram	Dharmaram
dharmavaram	Dharmavaram
dharmkot	Dharmkot
dharni	Dhārni
dharuhera	Dhāruhera
dharur	Dhārūr
dhasa	Dhasa
dhatau	Dhatau
dhaulpur	Dhaulpur
dhaurahra	Dhaurahra
dhekiajuli	Dhekiajuli
dhekorgorha	Dhekorgorha
dhemaji	Dhemāji
dhenkanal	Dhenkānāl
dhilwan	Dhilwan
dhin	Dhin
dhinde	Dhīnde
dhing	Dhing
dhodra mohar	Dhodra Mohār
dhola	Dhola
dholka	Dholka
dhone	Dhone
dhoraji	Dhoraji
dhorimanna	Dhorīmanna
dhrangadhra	Dhrāngadhra
dhrol	Dhrol
dhubri	Dhubri
dhulagari	Dhulagari
dhule	Dhule
dhulian	Dhuliān
dhupgari	Dhupgāri
dhuri	Dhūri
dhuwaran	Dhuwaran
diamond harbour	Diamond Harbour
dibai	Dibai
dibrugarh	Dibrugarh
didwana	Dīdwāna
dig	Dīg
digapahandi	Digapahandi
digaru gaon	Digaru Gaon
digboi	Digboi
digboi oil town	Digboi Oil Town
digha	Digha
dighawani	Dighāwāni
digheli	Digheli
dighwara	Dighwāra
diglipur	Diglipur
digras	Digras
diguvametta	Diguvametta
digvijaygram	Digvijaygram
dih	Dih
dikshitpur	Dīkshitpur
dimapur	Dimāpur
dimaruguri	Dimaruguri
dinanagar	Dīnānagar
dinapore	Dinapore
dinapur cantonment	Dinapur Cantonment
dinapur nizamat	Dinapur Nizamat
dindarpur	Dīndārpur
dindigul	Dindigul
dindori	Dindori
dinhata	Dīnhāta
diphu	Diphu
diphupar 'a'	Diphupar 'A'
dirang	Dirāng
dirba	Dirba
dispur	Dispur
diu	Diu
diwakari	Diwākari
diyodar	Diyodar
dobbaspet	Dobbaspet
doboka	Doboka
doda	Doda
doddaballapura	Doddaballapura
doha	Doha
dohad	Dohad
dohrighat	Dohrighāt
doiwala	Doiwāla
dokmoka	Dokmoka
dola	Dola
dombivali	Dombivali
domchanch	Domchānch
dommaranandyala	Dommaranandyāla
dommasandra	Dommasandra
dondaicha	Dondaicha
dondi	Dondi
dongargaon	Dongargaon
dongargarh	Dongargarh
donimalai township	Donimalai Township
donkamokam	Donkamokam
dooru verinag	Dooru Verinag
doptala	Doptāla
doraha	Dorāha
dornakal	Dornakal
dornapal	Dornapal
dostpur	Dostpur
dowleswaram	Dowleswaram
drug mulla	Drug Mulla
dubai	Dubai
dubrajpur	Dubrājpur
dudhani	Dudhani
dudhi	Dūdhi
dudpatil i	Dudpatil I
dug	Dug
dugadda	Dugadda
dugda	Dugda
dukli	Dukli
duliajan	Duliajan
duliajan oil town	Duliajan Oil Town
dum duma	Dum Duma
dumar kachhar	Dumar Kachhar
dumari urf damodarpur shahjahan	Dumari urf Damodarpur Shahjahan
dumarkunda	Dumarkunda
dumjor	Dumjor
dumka	Dumka
dumra	Dumra
dumraon	Dumraon
dunai	Dunāi
dundigal	Dundigal
dunetha	Dunetha
dungamal	Dungamal
dungarpur	Dūngarpur
dungarpur	Dungarpur
durena	Durena
durg	Durg
durga nagar part-v	Durga Nagar Part-V
durgapur	Durgapur
durgapur	Durgāpur
dusi	Dūsi
dwarahat	Dwārāhāt
dwaraka tirumala	Dwāraka Tirumala
dwarka	Dwārka
dyane	Dyāne
ear	Eār
edaccheri	Edacchēri
edaicode	Edaicode
edakkalathur	Edakkalathur
edakkazhiyur	Edakkazhiyūr
edakkode	Edakkode
edakkulam	Edakkulam
edappal	Edappāl
edattala	Edattala
edattirutti	Edattirutti
edavai	Edavai
edavilangu	Edavilangu
egarkunr	Egarkunr
egra	Egra
ekangar sarai	Ekangar Sarai
eklahare	Eklahare
eklahra	Eklahra
elamanchili	Elamanchili
elamkunnapuzha	Elamkunnapuzha
elampalloor	Elampalloor
elandacheri	Elandacheri
elandakuttai	Elandakuttai
elattur	Elattūr
elavalli	Elavalli
elayavur	Elayavur
elayirampannai	Elāyirampannai
electronic city phase i	Electronic City Phase I
elivala	Elivāla
ellakkudi	Ellakkudi
ellenabad	Ellenabad
elumalai	Elumalai
elur	Elūr
eluru	Eluru
emmiganur	Emmiganūr
enkakad	Enkakād
epuru bit - i - b	Epuru Bit - I - B
era	Era
eral	Eral
eramala	Erāmala
eranapuram	Eranāpuram
erandol	Erandol
eraniel	Eraniel
erannoli	Erannoli
erattupetta	Erāttupetta
eravattur	Eravattūr
eravu	Eravu
erei	Erei
eriyodu	Eriyodu
erode	Erode
erraguntla	Erraguntla
erumaippatti	Erumaippatti
erumapalaiyam	Erumāpālaiyam
eruvadi	Eruvādi
eruvatti	Eruvatti
etah	Etah
etawa	Etāwa
etawah	Etāwah
etikoppaka	Etikoppāka
etmadpur	Etmadpur
ettaiyapuram	Ettaiyapuram
ettapur	Ettāpur
ettimadai	Ettimadai
ettumanoor	Ettumanoor
ettumanur	Ettumānūr
evri	Evri
eyyal	Eyyāl
ezhome	Ezhome
ezhudesam	Ezhudesam
ezhupunna	Ezhupunna
faizpur	Faizpur
falakata	Fālākāta
falna	Fālna
farah	Farah
farakhpur	Farakhpur
farakka	Farakka
faridabad	Faridabad
faridkot	Farīdkot
faridnagar	Farīdnagar
faridpur	Farīdpur
farrukhabad	Farrukhābād
farrukhnagar	Farrukhnagar
farward kahuta	Fārward Kahūta
fateh nangal	Fateh Nangal
fateh pur beri	Fateh Pur Beri
fatehabad	Fatehābād
fatehganj west	Fatehganj West
fatehgarh	Fatehgarh
fatehgarh churian	Fatehgarh Chūriān
fatehnagar	Fatehnagar
fatehpur	Fatehpur
fatehpur chaurasi	Fatehpur Chaurāsi
fatehpur sikri	Fatehpur Sīkri
fatikrai	Fatikrāi
fatwa	Fatwa
fazilka	Fazilka
fazilpur	Fāzilpur
ferokh	Ferokh
fertilizer corporation of india township	Fertilizer Corporation of India Township
fingeshwar	Fingeshwar
firozabad	Fīrozābād
firozpur	Firozpur
firozpur jhirka	Fīrozpur Jhirka
forbesganj	Forbesganj
forest village lakhipathar	Forest Village Lakhipathar
fort gloster	Fort Gloster
freelandgunj	Freelandgunj
french rocks	French Rocks
fulchur	Fulchur
fulkumari	Fulkumari
fyzabad	Fyzābād
gadag	Gadag
gadag-betageri	Gadag-Betageri
gadarwara	Gādarwāra
gaddi annaram	Gaddi Annaram
gadhada	Gadhada
gadhinglaj	Gadhinglaj
gadhra	Gadhra
gadkhol	Gadkhol
gadwal	Gadwāl
gagret	Gagret
gairtganj	Gairtganj
gajapatinagaram	Gajapatinagaram
gajendragarh	Gajendragarh
gajraula	Gajraula
gajsinghpur	Gajsinghpur
gajuwaka	Gajuwaka
gajwel	Gajwel
gakulnagar	Gakulnagar
galiakot	Galiākot
galpadar	Galpadar
gamdi	Gamdi
gamharia	Gamhāria
gamharia	Gamharia
ganaur	Ganaur
gandai	Gandai
ganderbal	Ganderbal
gandevi	Gandevi
gandhi nagar	Gāndhī Nagar
gandhidham	Gāndhīdhām
gandhigram	Gandhigram
gandhinagar	Gandhinagar
gandhisagar colony	Gandhīsāgar Colony
gandipuram	Gandipuram
ganeshpur	Ganeshpur
gangadharpur	Gangadharpur
gangaikondan	Gangaikondān
gangakher	Gangākher
gangapur	Gangāpur
gangarampur	Gangārāmpur
gangavalli	Gangavalli
gangavati	Gangavati
gangoh	Gangoh
gangolli	Gangolli
gangtok	Gangtok
ganguvada	Ganguvāda
ganguvarpatti	Ganguvārpatti
ganguwa	Ganguwa
ganj dundwara	Ganj Dundwāra
ganj muradabad	Ganj Murādābād
ganjam	Ganjām
gannavaram	Gannavaram
garacharma	Garacharma
garal	Garal
garamur	Garamur
garautha	Garautha
gargeswari	Gargeswari
garha brahman	Garha Brahman
garhakota	Garhākota
garhchiroli	Garhchiroli
garhdiwala	Garhdiwāla
garhi	Garhi
garhi harsaru	Garhi Harsāru
garhi pukhta	Garhi Pūkhta
garhmuktesar	Garhmuktesar
garhshankar	Garhshankar
garhwa	Garhwa
gariaband	Gariāband
gariadhar	Gariadhar
garimellapadu	Garimellapadu
garot	Garot
garra	Garrā
gaurela	Gaurela
gauribidanur	Gauribidanur
gauripur	Gauripur
gautampura	Gautampura
gavaravaram	Gavaravaram
gawan	Gawān
gaya	Gaya
george town	George Town
gerimari chapori	Gerimari Chapori
gevrai	Gevrai
ghagga	Ghagga
ghaghra	Ghāghrā
ghanaula	Ghanaula
ghanaur	Ghanaur
ghanpur	Ghanpur
ghansor	Ghansor
ghantapada	Ghantapada
ghanteshvar	Ghanteshvar
gharaunda	Gharaunda
gharghoda	Gharghoda
gharonda neemka bangar	Gharonda Neemka Bangar
gharroli	Gharroli
ghatal	Ghātāl
ghatal mahaniawas	Ghatal Mahaniawas
ghatampur	Ghātampur
ghatanji	Ghātanji
ghatkesar	Ghatkesar
ghatsila	Ghātsīla
ghaura	Ghaura
ghaziabad	Ghāziābād
ghazipur	Ghazīpur
ghazipur	Ghāzīpur
gheora	Gheora
ghiror	Ghiror
ghitorni	Ghitorni
gho brahmanan de	Gho Brāhmanān de
ghoga	Ghoga
ghogaon	Ghogaon
ghogardiha	Ghogardīha
ghogha	Ghogha
ghoh	Ghoh
ghomanhasan	Ghomanhasan
ghorabandha	Ghorabandha
ghoradongri	Ghoradongri
ghorawal	Ghorāwal
ghosi	Ghosī
ghoti budrukh	Ghoti Budrukh
ghugus	Ghugus
ghulewadi	Ghulewadi
ghumarwin	Ghumārwīn
gidam	Gīdam
giddalur	Giddalūr
giddarbaha	Giddarbāha
gidi	Gidi
gil	Gil
gingee	Gingee
giridih	Giridih
goa velha	Goa Velha
goalpara	Goālpāra
gobardanga	Gobārdānga
gobichettipalayam	Gobichettipalayam
gobindapur	Gobindapur
gobindgarh	Gobindgarh
gobindpur	Gobindpur
godda	Godda
godhra	Godhra
godiputamatiapara	Godiputamatiapara
godoli	Godoli
gogapur	Gogāpur
gogipeth	Gogipeth
gogri jamalpur	Gogri Jamālpur
gogunda	Gogūnda
gohad	Gohad
gohana	Gohāna
gohand	Gohānd
gohpur	Gohpur
gokak	Gokak
gokak falls	Gokak Falls
gokalpur	Gokalpur
gokarna	Gokarna
gokavaram	Gokavaram
gokul	Gokul
gokul shirgaon	Gokul Shirgaon
gokunda	Gokunda
gola bazar	Gola Bāzār
gola gokarannath	Gola Gokarannāth
golaghat	Golāghāt
golaghatia basti	Golaghatia Basti
golakganj	Golakganj
golkhera	Golkhera
gomoh	Gomoh
gond pipri	Gond Pīpri
gonda city	Gondā City
gondal	Gondal
gondia	Gondiā
goniana mandi	Goniāna Mandi
gonikoppal	Gonikoppal
gooty	Gooty
gopalasamudram	Gopālasamudram
gopalganj	Gopālganj
gopalpur	Gopālpur
gopalur	Gopālur
gopamau	Gopāmau
gopavaram	Gopavaram
gopinathpur	Gopināthpur
gorah salathian	Gorah Salathian
gorai	Gorai
gorakhpur	Gorakhpur
gorantla	Gorantla
goraya	Gorāya
goregaon	Goregaon
gormi	Gormi
gorrakunta	Gorrakunta
gorur	Gorūr
goshainganj	Goshāīnganj
goshainganj	Goshāinganj
goshaingaon	Goshaingaon
got	Got
gotamara	Gotamara
gotan	Gotan
gotegaon	Gotegaon
gothara	Gothara
govardhan	Govardhan
govindapuram	Govindapuram
govindgarh	Govindgarh
govindpur	Govindpur
goyali	Goyali
goyerkata	Goyerkāta
greater noida	Greater Noida
gsfc complex ina	GSFC Complex INA
gua	Gua
gubbi	Gubbi
gudalur	Gudalur
gudari	Gudāri
gudibanda	Gudibanda
gudivada	Gudivāda
gudiyatham	Gudiyatham
gudlavalleru	Gudlavalleru
gudur	Gūdūr
guduvancheri	Gūduvāncheri
guhagar	Guhāgar
guhala	Guhāla
guirim	Guirim
gulabpura	Gulābpura
gulaothi	Gulāothi
guledagudda	Guledagudda
gulgam	Gulgam
gulmarg	Gulmarg
gumia	Gumia
gumla	Gumlā
gummidipundi	Gummidipundi
guna	Guna
gundardehi	Gundardehi
gundlupet	Gundlupēt
gundupalaiyam	Gundupālaiyam
gunghasa	Gunghasa
gunnaur	Gunnaur
gunpuram	Gunpuram
guntakal	Guntakal
guntupalle	Guntupalle
guntur	Guntur
gunupur	Gunupur
gurdaspur	Gurdaspur
gurh	Gurh
gurmatkal	Gurmatkāl
gursahaiganj	Gursahāiganj
gursarai	Gursarāi
guru har sahai	Guru Har Sahāi
gurugram	Gurugram
gurur	Gurur
guruvayur	Guruvāyūr
guskhara	Guskhara
gutlong gaon	Gutlong Gaon
guwahati	Guwahati
gwalior	Gwalior
gyalshing	Gyalshing
gyanpur	Gyānpur
habibpur	Habibpur
habra	Hābra
hadagalli	Hadagalli
hadgaon	Hadgāon
hadgood	Hadgood
hadiaya	Hadiāya
haflong	Hāflong
hailakandi	Hailākāndi
hajan	Hājan
hajarmachi	Hajarmachi
hajipur	Hājipur
hajipur	Hājīpur
hajira ina	Hajira INA
hajo	Hājo
haldaur	Haldaur
haldia	Haldia
haldibari	Haldībāri
haldwani	Haldwani
hale dharmapuri	Hale Dharmapuri
halisahar	Hālīsahar
haliyal	Haliyal
halol	Hālol
haludbani	Haludbani
haludpukhur	Haludpukhur
halvad	Halvad
halwara	Halwāra
hamirgarh	Hamīrgarh
hamirpur	Hamīrpur
hampi	Hampi
hamre	Hāmre
hamren	Hamren
handia	Handiā
handwara	Handwāra
hangal	Hāngal
hansi	Hānsi
hansot	Hansot
hanspura	Hānspura
hanumana	Hanumana
hanumangarh	Hanumāngarh
hanumantanpatti	Hanumantanpatti
hanur	Hanūr
hapur	Hāpur
haraiya	Haraiya
haralahalli	Haralahalli
haralapura	Haralāpura
harbatpur	Harbatpur
harda	Harda
hardoi	Hardoī
harduaganj	Harduāganj
harduli	Harduli
harekala	Harēkala
hariana	Hariāna
haridwar	Haridwar
harihar	Harihar
hariharpur	Hariharpur
harij	Hārij
harina	Harina
harina pashdal bar	Harina Pashdal Bar
haringhata	Haringhāta
haripad	Haripād
haripur	Haripur
harnai	Harnai
harpalpur	Harpālpur
harpanahalli	Harpanahalli
harrai	Harrai
harsiddhi society, ram talavadi, mission road, nadiad	Harsiddhi Society, Ram Talavadi, Mission Road, Nadiad
harsud	Harsūd
harur	Harūr
hasanpur	Hasanpur
hashtsal	Hashtsāl
hasimara	Hāsimāra
hasir	Hasir
hassan	Hassan
hastinapur	Hastināpur
hat	Hāt
hat piplia	Hāt Piplia
hat saraiya	Hāt Saraiyā
hata	Hātā
hathras	Hāthras
hathwa	Hathwa
hatod	Hātod
hatsingimari	Hatsingimari
hatta	Hatta
hatti	Hatti
hattin	Hattīn
hatwans	Hatwāns
haveli	Haveli
haveri	Hāveri
hawai	Hawai
hayuliang	Hayuliang
hazaribagh	Hazāribāgh
hebbagodi	Hebbagodi
heggadadevankote	Heggadadevankote
heingang	Heingang
heirok	Heirok
heli mandi	Heli Mandi
herur	Hērūr
hesabettu	Hēsabettu
hesla	Hesla
hesla	Heslā
highways	Highways
hill town	Hill Town
hilsa	Hilsa
himatnagar	Himatnagar
hinakallu	Hinakallu
hindalgi	Hindalgi
hindaun	Hindaun
hindoria	Hindoria
hindupur	Hindupur
hindustan paper corporation ltd. township	Hindustan Paper Corporation Ltd. Township
hinganghat	Hinganghāt
hingoli	Hingoli
hinjawadi	Hinjawadi
hinjilicut	Hinjilicut
hirakud	Hīrākud
hiramandalam	Hiramandalam
hiranagar	Hirānagar
hirapur	Hirāpur
hirapur hamesha	Hīrāpur Hamesha
hirdepur	Hirdepur
hirekerur	Hirekerūr
hiriyur	Hiriyūr
hirmi	Hirmi
hisar	Hisar
hisua	Hisua
hmt pinjore	HMT Pinjore
