akat amnuai	Akat Amnuai
wiang kaen	Wiang Kaen
wiang kao	Wiang Kao
wiang nong long	Wiang Nong Long
wiang nuea	Wiang Nuea
wiang pa pao	Wiang Pa Pao
wiang sa	Wiang Sa
wichian buri	Wichian Buri
wichit	Wichit
wihan daeng	Wihan Daeng
wiset chaichan	Wiset Chaichan
wong sawang	Wong Sawang
yaha	Yaha
yala	Yala
yan nawa	Yan Nawa
yan ta khao	Yan Ta Khao
yang chum noi	Yang Chum Noi
yang si surat	Yang Si Surat
yang talat	Yang Talat
yarang	Yarang
yaring	Yaring
yasothon	Yasothon
yi-ngo	Yi-ngo
