abramow	Abramów
kuczbork-osada	Kuczbork-Osada
kudowa-zdroj	Kudowa-Zdrój
kukow	Kuków
kunice	Kunice
kunice zarskie	Kunice Żarskie
kunow	Kunów
kup	Kup
kurow	Kurów
kurylowka	Kuryłówka
kurzetnik	Kurzętnik
kuslin	Kuślin
kutno	Kutno
kuznia raciborska	Kuźnia Raciborska
kuznica	Kuźnica
kuzniki	Kuźniki
kwaczala	Kwaczała
kwidzyn	Kwidzyn
kwilcz	Kwilcz
labiszyn	Łabiszyn
labowa	Łabowa
labunie	Łabunie
lachowice	Lachowice
lack	Łąck
lacko	Łącko
laczany	Łączany
laczna	Łączna
ladek	Lądek
ladek-zdroj	Lądek-Zdrój
lag	Łąg
lagiewniki	Łagiewniki
lagow	Łagów
lajski	Łajski
laka prudnicka	Łąka Prudnicka
laliki	Laliki
lambinowice	Łambinowice
lanckorona	Lanckorona
lancut	Łańcut
lanieta	Łanięta
lapanow	Łapanów
lapczyca	Łapczyca
lapsze nizne	Łapsze Niżne
lapy	Łapy
lasek	Lasek
lasin	Łasin
lask	Łask
laskarzew	Łaskarzew
laskowa	Laskowa
laszczow	Łaszczów
laszki	Laszki
latowicz	Latowicz
laziska	Łaziska
laziska gorne	Łaziska Górne
lazy	Łazy
leba	Łeba
lebork	Lębork
lecka	Lecka
leczna	Łęczna
leczyca	Łęczyca
leczyce	Łęczyce
ledziny	Lędziny
legionowo	Legionowo
legnica	Legnica
legnickie pole	Legnickie Pole
legowo	Łęgowo
leka opatowska	Łęka Opatowska
lekawica	Łękawica
leki	Łęki
leki dolne	Łęki Dolne
leki dukielskie	Łęki Dukielskie
leki gorne	Łęki Górne
leki szlacheckie	Łęki Szlacheckie
leknica	Łęknica
lelkowo	Lelkowo
lelow	Lelów
lencze	Leńcze
lesko	Lesko
lesna	Leśna
lesna podlaska	Leśna Podlaska
lesnica	Leśnica
lesnica-ratyn-pustki	Leśnica-Ratyń-Pustki
leszczyny	Leszczyny
leszno	Leszno
lesznowola	Lesznowola
letnica	Letnica
letownia	Łętownia
lewin brzeski	Lewin Brzeski
lewin klodzki	Lewin Kłodzki
lezajsk	Leżajsk
lgota wielka	Lgota Wielka
libertow	Libertów
libiaz	Libiąż
lichen stary	Licheń Stary
lidzbark	Lidzbark
lidzbark warminski	Lidzbark Warmiński
ligota	Ligota
limanowa	Limanowa
linia	Linia
liniewo	Liniewo
lipa piotrowska	Lipa Piotrowska
lipce reymontowskie	Lipce Reymontowskie
lipiany	Lipiany
lipie	Lipie
lipinki	Lipinki
lipinki luzyckie	Lipinki Łużyckie
lipka	Lipka
lipkowo	Lipkowo
lipnica	Lipnica
lipnica mala	Lipnica Mała
lipnica wielka	Lipnica Wielka
lipnik	Lipnik
lipno	Lipno
lipowa	Lipowa
lipowiec koscielny	Lipowiec Kościelny
lipsk	Lipsk
lipsko	Lipsko
lipusz	Lipusz
lisewo	Lisewo
lisewo malborskie	Lisewo Malborskie
lisia gora	Lisia Góra
liskow	Lisków
liszki	Liszki
liw	Liw
lniano	Lniano
lobez	Łobez
lobodno	Łobodno
lobzenica	Łobżenica
lochow	Łochów
lodygowice	Łodygowice
lodz	Łódź
lomazy	Łomazy
lomianki	Łomianki
lomza	Łomża
loniow	Łoniów
lopiennik gorny	Łopiennik Górny
lopuszka wielka	Łopuszka Wielka
lopuszna	Łopuszna
lopuszno	Łopuszno
losice	Łosice
losiow	Łosiów
lososina dolna	Łososina Dolna
lowicz	Łowicz
lubaczow	Lubaczów
luban	Lubań
lubanie	Lubanie
lubartow	Lubartów
lubasz	Lubasz
lubawa	Lubawa
lubawka	Lubawka
lubenia	Lubenia
lubiana	Lubiana
lubianka	Łubianka
lubichowo	Lubichowo
lubicz dolny	Lubicz Dolny
lubicz gorny	Lubicz Górny
lubien	Lubień
lubien kujawski	Lubień Kujawski
lubiewo	Lubiewo
lubin	Lubin
lubiszyn	Lubiszyn
lublewo gdanskie	Lublewo Gdańskie
lublin	Lublin
lubliniec	Lubliniec
lubniany	Łubniany
lubnice	Łubnice
lubniewice	Lubniewice
lubochnia	Lubochnia
lubomia	Lubomia
lubomierz	Lubomierz
lubomino	Lubomino
lubon	Luboń
lubowidz	Lubowidz
lubowo	Łubowo
lubraniec	Lubraniec
lubrza	Lubrza
lubsko	Lubsko
lubsza	Lubsza
lubycza krolewska	Lubycza Królewska
lucka	Łucka
ludwikowice klodzkie	Ludwikowice Kłodzkie
ludwin	Ludwin
ludzmierz	Ludźmierz
lukow	Łuków
lukowa	Łukowa
lukowica	Łukowica
luszowice	Luszowice
lutocin	Lutocin
lutomiersk	Lutomiersk
lutoryz	Lutoryż
lutowiska	Lutowiska
lututow	Lututów
luzino	Luzino
luzna	Łużna
lwowek	Lwówek
lwowek slaski	Lwówek Śląski
lyse	Łyse
lyski	Lyski
lysomice	Łysomice
lyszkowice	Łyszkowice
maciejowice	Maciejowice
majdan krolewski	Majdan Królewski
makow	Maków
makow mazowiecki	Maków Mazowiecki
makow podhalanski	Maków Podhalański
mala wies	Mała Wieś
malanow	Malanów
malbork	Malbork
malczyce	Malczyce
maldyty	Małdyty
malec	Malec
malkinia gorna	Małkinia Górna
malogoszcz	Małogoszcz
malomice	Małomice
malta	Malta
maly plock	Mały Płock
manasterz	Manasterz
maniowy	Maniowy
marciszow	Marciszów
margonin	Margonin
marianowo	Marianowo
marki	Marki
marklowice	Markłowice
markowa	Markowa
markuszow	Markuszów
marszowice	Marszowice
maslice	Maślice
maslice male	Maślice Małe
maslice wielkie	Maślice Wielkie
maslow	Masłów
maszewo	Maszewo
maszewo duze	Maszewo Duże
maszkienice	Maszkienice
matarnia	Matarnia
mazancowice	Mazańcowice
medrzechow	Mędrzechów
medyka	Medyka
melgiew	Mełgiew
meszna	Meszna
metkow	Mętków
miaczyn	Miączyn
miasteczko krajenskie	Miasteczko Krajeńskie
miasteczko slaskie	Miasteczko Śląskie
miastko	Miastko
miastkow koscielny	Miastków Kościelny
michalow	Michałów
michalow-reginow	Michałów-Reginów
michalowice	Michałowice
michalowo	Michałowo
michalowo	Michalowo
michow	Michów
miechow	Miechów
miechow charsznica	Miechów Charsznica
miedziana gora	Miedziana Góra
miedzichowo	Miedzichowo
miedzna	Miedzna
miedzna	Miedźna
miedzno	Miedzno
miedzyborz	Międzybórz
miedzybrodzie bialskie	Międzybrodzie Bialskie
miedzychod	Międzychód
miedzylesie	Międzylesie
miedzyrzec podlaski	Międzyrzec Podlaski
miedzyrzecz	Międzyrzecz
miedzyrzecze dolne	Międzyrzecze Dolne
miedzyrzecze gorne	Międzyrzecze Górne
miedzyzdroje	Międzyzdroje
miejsce piastowe	Miejsce Piastowe
miejska gorka	Miejska Górka
miekinia	Miękinia
mielec	Mielec
mieleszyn	Mieleszyn
mielno	Mielno
mieroszow	Mieroszów
mierzecice	Mierzęcice
mierzyn	Mierzyn
miescisko	Mieścisko
mieszka i	Mieszka I
mieszkowice	Mieszkowice
mietne	Miętne
mikolajki	Mikołajki
mikolajki pomorskie	Mikołajki Pomorskie
mikolow	Mikołów
mikstat	Mikstat
mikuszowice	Mikuszowice
mikuszowice krakowskie	Mikuszowice Krakowskie
milakowo	Miłakowo
milanow	Milanów
milanowek	Milanówek
milejczyce	Milejczyce
milejow	Milejów
milicz	Milicz
milkowice	Miłkowice
milomlyn	Miłomłyn
miloradz	Miłoradz
miloslaw	Miłosław
milowka	Milówka
minsk mazowiecki	Mińsk Mazowiecki
mircze	Mircze
mirkow	Mirków
mirocin	Mirocin
miroslawiec	Mirosławiec
mirow	Mirów
mirsk	Mirsk
mirzec	Mirzec
mlawa	Mława
mlodzieszyn	Młodzieszyn
mlynary	Młynary
mlynarze	Młynarze
mlyniska	Młyniska
mnich	Mnich
mnikow	Mników
mniow	Mniów
mniszkow	Mniszków
mochowo	Mochowo
modliborzyce	Modliborzyce
modlnica	Modlnica
modlniczka	Modlniczka
mogielnica	Mogielnica
mogilany	Mogilany
mogilno	Mogilno
mokobody	Mokobody
mokotow	Mokotów
mokrsko	Mokrsko
monki	Mońki
morag	Morąg
morawica	Morawica
mordy	Mordy
moryn	Moryń
mosina	Mosina
mosty	Mosty
moszczanka	Moszczanka
moszczenica	Moszczenica
mragowo	Mrągowo
mrocza	Mrocza
mrozow	Mrozów
mrozy	Mrozy
mrzezino	Mrzezino
mrzezyno	Mrzeżyno
mstow	Mstów
mszana	Mszana
mszana dolna	Mszana Dolna
mszana gorna	Mszana Górna
mszczonow	Mszczonów
muchobor maly	Muchobór Mały
muchobor wielki	Muchobór Wielki
murcki	Murcki
murow	Murów
murowana goslina	Murowana Goślina
murzasichle	Murzasichle
muszyna	Muszyna
mykanow	Mykanów
mysiadlo	Mysiadło
myslachowice	Myślachowice
myslakowice	Mysłakowice
myslenice	Myślenice
mysliborz	Myślibórz
myslowice	Mysłowice
myszkow	Myszków
myszyniec	Myszyniec
nadarzyn	Nadarzyn
nadodrze	Nadodrze
naglowice	Nagłowice
naklo	Nakło
naklo nad notecia	Nakło nad Notecią
naleczow	Nałęczów
namyslow	Namysłów
naprawa	Naprawa
narew	Narew
narol	Narol
naruszewo	Naruszewo
nasielsk	Nasielsk
nawojowa	Nawojowa
nedza	Nędza
nekla	Nekla
neuhof	Neuhof
nidek	Nidek
nidzica	Nidzica
niebieszczany	Niebieszczany
niebocko	Niebocko
nieborow	Nieborów
niebylec	Niebylec
niechanowo	Niechanowo
niechobrz	Niechobrz
niedobczyce	Niedobczyce
niedomice	Niedomice
niedrzwica duza	Niedrzwica Duża
niedzica	Niedzica
niedzwiada	Niedźwiada
niedzwiedz	Niedźwiedź
niegowonice	Niegowonice
nielisz	Nielisz
niemce	Niemce
niemcza	Niemcza
niemodlin	Niemodlin
nienadowa	Nienadowa
niepolomice	Niepołomice
nieporet	Nieporęt
nieszawa	Nieszawa
nisko	Nisko
niwiska	Niwiska
nowa deba	Nowa Dęba
nowa gora	Nowa Góra
nowa ruda	Nowa Ruda
nowa sarzyna	Nowa Sarzyna
nowa slupia	Nowa Słupia
nowa sol	Nowa Sól
nowa wies	Nowa Wieś
nowa wies leborska	Nowa Wieś Lęborska
nowa wies wielka	Nowa Wieś Wielka
nowa wola	Nowa Wola
nowe	Nowe
nowe brzesko	Nowe Brzesko
nowe grocholice	Nowe Grocholice
nowe lipiny	Nowe Lipiny
nowe miasteczko	Nowe Miasteczko
nowe miasto	Nowe Miasto
nowe miasto lubawskie	Nowe Miasto Lubawskie
nowe miasto nad pilica	Nowe Miasto nad Pilicą
nowe miasto nad warta	Nowe Miasto nad Wartą
nowe ostrowy	Nowe Ostrowy
nowe siolo	Nowe Sioło
nowe skalmierzyce	Nowe Skalmierzyce
nowe warpno	Nowe Warpno
nowodwor	Nowodwór
nowogard	Nowogard
nowogrod	Nowogród
nowogrod bobrzanski	Nowogród Bobrzański
nowogrodek pomorski	Nowogródek Pomorski
nowogrodziec	Nowogrodziec
nowosielce	Nowosielce
nowosielce-gniewosz	Nowosielce-Gniewosz
nowy duninow	Nowy Duninów
nowy dwor	Nowy Dwór
nowy dwor gdanski	Nowy Dwór Gdański
nowy dwor mazowiecki	Nowy Dwór Mazowiecki
nowy korczyn	Nowy Korczyn
nowy port	Nowy Port
nowy sacz	Nowy Sącz
nowy staw	Nowy Staw
nowy targ	Nowy Targ
nowy tomysl	Nowy Tomyśl
nowy wisnicz	Nowy Wiśnicz
nowy zmigrod	Nowy Żmigród
nozdrzec	Nozdrzec
nur	Nur
nurzec-stacja	Nurzec-Stacja
nysa	Nysa
obora	Obora
oborniki	Oborniki
oborniki slaskie	Oborniki Śląskie
obrazow	Obrazów
obrowo	Obrowo
obryte	Obryte
obrzycko	Obrzycko
obsza	Obsza
ochaby	Ochaby
ochla	Ochla
ochojno	Ochojno
ochota	Ochota
ochotnica dolna	Ochotnica Dolna
ochotnica gorna	Ochotnica Górna
odolanow	Odolanów
odrzechowa	Odrzechowa
odrzykon	Odrzykoń
odrzywol	Odrzywół
ogrodzieniec	Ogrodzieniec
ojrzen	Ojrzeń
okocim	Okocim
okonek	Okonek
oksa	Oksa
olawa	Oława
olbin	Ołbin
olecko	Olecko
olesnica	Oleśnica
olesno	Olesno
oleszyce	Oleszyce
oliwa	Oliwa
olkusz	Olkusz
olpiny	Ołpiny
olszana	Olszana
olszanica	Olszanica
olszanka	Olszanka
olszowka	Olszówka
olsztyn	Olsztyn
olsztynek	Olsztynek
olszyna	Olszyna
olszynka	Olszynka
oltaszyn	Ołtaszyn
olza	Olza
opalenica	Opalenica
opatow	Opatów
opatowek	Opatówek
opatowiec	Opatowiec
opinogora gorna	Opinogóra Górna
opoczno	Opoczno
opole	Opole
opole lubelskie	Opole Lubelskie
oporow	Oporów
orchowo	Orchowo
orla	Orla
orle	Orle
orly	Orły
orneta	Orneta
ornontowice	Ornontowice
oronsko	Orońsko
orunia gorna-gdansk poludnie	Orunia Górna-Gdańsk Południe
orunia-sw. wojciech-lipce	Orunia-Św. Wojciech-Lipce
orzech	Orzech
orzechowka	Orzechówka
orzesze	Orzesze
orzysz	Orzysz
osie	Osie
osieciny	Osięciny
osieck	Osieck
osieczany	Osieczany
osieczna	Osieczna
osiedle henrykowskie	Osiedle Henrykowskie
osiedle kosmonautow	Osiedle Kosmonautów
osiedle powstancow slaskich	Osiedle Powstańców Śląskich
osiedle-nowiny	Osiedle-Nowiny
osiek	Osiek
osiek jasielski	Osiek Jasielski
osiek maly	Osiek Mały
osiek nad notecia	Osiek nad Notecią
osielec	Osielec
osielsko	Osielsko
osina	Osina
osjakow	Osjaków
osno lubuskie	Ośno Lubuskie
osobnica	Osobnica
osobowice-redzin	Osobowice-Rędzin
osowa	Osowa
ostaszewo	Ostaszewo
ostreznica	Ostrężnica
ostroda	Ostróda
ostroleka	Ostrołęka
ostrorog	Ostroróg
ostroszowice	Ostroszowice
ostrow	Ostrów
ostrow lubelski	Ostrów Lubelski
ostrow mazowiecka	Ostrów Mazowiecka
ostrow wielkopolski	Ostrów Wielkopolski
ostrowek	Ostrówek
ostrowiec swietokrzyski	Ostrowiec Świętokrzyski
ostrowite	Ostrowite
ostrowsko	Ostrowsko
ostrowy	Ostrowy
ostrowy nad oksza	Ostrowy nad Okszą
ostrzeszow	Ostrzeszów
oswiecim	Oświęcim
otmuchow	Otmuchów
otrebusy	Otrębusy
otwock	Otwock
otyn	Otyń
owczarnia	Owczarnia
ozarow	Ożarów
ozarow mazowiecki	Ożarów Mazowiecki
ozarowice	Ożarowice
ozimek	Ozimek
ozorkow	Ozorków
pabianice	Pabianice
pacanow	Pacanów
pacyna	Pacyna
paczkow	Paczków
padew narodowa	Padew Narodowa
pajeczno	Pajęczno
pakosc	Pakość
pakoslaw	Pakosław
pakoslawice	Pakosławice
palcza	Palcza
pamiatkowo	Pamiątkowo
paniowki	Paniówki
panki	Panki
pantalowice	Pantalowice
paprotnia	Paprotnia
paradyz	Paradyż
parchowo	Parchowo
parczew	Parczew
partynice	Partynice
parysow	Parysów
parzeczew	Parzęczew
paslek	Pasłęk
pasym	Pasym
paszowice	Paszowice
patnow	Pątnów
pawlikowice	Pawlikowice
pawlosiow	Pawłosiów
pawlow	Pawłów
pawlowice	Pawłowice
pawlowice-klokoczyce	Pawłowice-Kłokoczyce
pawlowiczki	Pawłowiczki
pawonkow	Pawonków
pcim	Pcim
pecna	Pecna
peczniew	Pęczniew
pelczyce	Pełczyce
pelplin	Pelplin
pepowo	Pępowo
perlejewo	Perlejewo
perzow	Perzów
pewel slemienska	Pewel Ślemieńska
pewel wielka	Pewel Wielka
piaseczno	Piaseczno
piasek	Piasek
piaski	Piaski
piastow	Piastów
piastowskie	Piastowskie
piatek	Piątek
piatnica	Piątnica
piechowice	Piechowice
piecki	Piecki
piecki-migowo	Piecki-Migowo
piekary	Piekary
piekary slaskie	Piekary Śląskie
piekielnik	Piekielnik
piekoszow	Piekoszów
pielgrzymowice	Pielgrzymowice
pieniezno	Pieniężno
piensk	Pieńsk
piersciec	Pierściec
pierzchnica	Pierzchnica
pieszyce	Pieszyce
pietrowice wielkie	Pietrowice Wielkie
pietrzykowice	Pietrzykowice
pila	Piła
pilawa	Pilawa
pilawa gorna	Piława Górna
pilchowice	Pilchowice
pilchowo	Pilchowo
pilczyce	Pilczyce
pilczyce-kozanow-popowice polnocne	Pilczyce-Kozanów-Popowice Północne
pilica	Pilica
pilzno	Pilzno
pinczow	Pińczów
pionki	Pionki
piotrkow kujawski	Piotrków Kujawski
piotrkow trybunalski	Piotrków Trybunalski
pisarzowice	Pisarzowice
piskorowice	Piskorowice
pisz	Pisz
piszczac	Piszczac
piwniczna-zdroj	Piwniczna-Zdrój
plac grunwaldzki	Plac Grunwaldzki
plawno	Pławno
plaza	Płaza
plesna	Pleśna
pleszew	Pleszew
plewiska	Plewiska
plock	Płock
ploniawy-bramura	Płoniawy-Bramura
plonsk	Płońsk
ploty	Płoty
pluznica	Płużnica
pniewy	Pniewy
pobiedziska	Pobiedziska
pobierowo	Pobierowo
poddebice	Poddębice
podeblocie	Podebłocie
podedworze	Podedwórze
podegrodzie	Podegrodzie
podgorzyn	Podgórzyn
podjuchy	Podjuchy
podkowa lesna	Podkowa Leśna
podleze	Podłęże
podwilk	Podwilk
pogorska wola	Pogórska Wola
pogorze	Pogórze
pogorzela	Pogorzela
pogorzyce	Pogorzyce
pogrzebien	Pogrzebień
pogwizdow	Pogwizdów
pokoj	Pokój
pokrowka	Pokrówka
pokrzywnica	Pokrzywnica
polajewo	Połajewo
polanczyk	Polańczyk
polanica-zdroj	Polanica-Zdrój
polaniec	Połaniec
polanka wielka	Polanka Wielka
polanow	Polanów
polanowice-poswietne-ligota	Polanowice-Poświętne-Ligota
polczyn-zdroj	Połczyn-Zdrój
police	Police
policzna	Policzna
polkowice	Polkowice
polomia	Połomia
polska cerekiew	Polska Cerekiew
polskich skrzydel	Polskich Skrzydeł
pomiechowek	Pomiechówek
poniatowa	Poniatowa
poniec	Poniec
ponikiew	Ponikiew
popielow	Popielów
popow	Popów
porabka	Porąbka
porabka uszewska	Porąbka Uszewska
poraj	Poraj
poraz	Poraż
poreba	Poręba
poreba spytkowska	Poręba Spytkowska
poreba wielka	Poręba Wielka
poronin	Poronin
poswietne	Poświętne
potegowo	Potęgowo
potok gorny	Potok Górny
potok wielki	Potok Wielki
potok zloty	Potok Złoty
potworow	Potworów
powidz	Powidz
powstancow slaskich wschod	Powstańców Śląskich Wschód
powstancow slaskich zachod-centrum poludniow	Powstańców Śląskich Zachód-Centrum Południow
pozezdrze	Pozezdrze
poznan	Poznań
prabuty	Prabuty
pracze odrzanskie-janowek	Pracze Odrzańskie-Janówek
praga polnoc	Praga Północ
praga poludnie	Praga Południe
praszka	Praszka
prazmow	Prażmów
prochowice	Prochowice
promna	Promna
prostki	Prostki
proszkow	Prószków
proszowice	Proszowice
pruchna	Pruchna
pruchnik	Pruchnik
prudnik	Prudnik
prusice	Prusice
pruszcz	Pruszcz
pruszcz gdanski	Pruszcz Gdański
pruszkow	Pruszków
przasnysz	Przasnysz
przechlewo	Przechlewo
przecieszyn	Przecieszyn
przeciszow	Przeciszów
przeclaw	Przecław
przedborz	Przedbórz
przedecz	Przedecz
przedmiescie dubieckie	Przedmieście Dubieckie
przedmiescie olawskie	Przedmieście Oławskie
przedmiescie swidnickie	Przedmieście Świdnickie
przedzel	Przędzel
przeginia	Przeginia
przelewice	Przelewice
przemet	Przemęt
przemkow	Przemków
przemysl	Przemyśl
przerobka	Przeróbka
przesmyki	Przesmyki
przeworno	Przeworno
przeworsk	Przeworsk
przewoz	Przewóz
przodkowo	Przodkowo
przybiernow	Przybiernów
przyborow	Przyborów
przybyszowka	Przybyszówka
przygodzice	Przygodzice
przykona	Przykona
przylek	Przyłęk
przymorze male	Przymorze Małe
przymorze wielkie	Przymorze Wielkie
przyrow	Przyrów
przysietnica	Przysietnica
przystajn	Przystajń
przysucha	Przysucha
przyszowice	Przyszowice
przytkowice	Przytkowice
przytoczna	Przytoczna
przytoczno	Przytoczno
przytyk	Przytyk
przywidz	Przywidz
psary	Psary
psie pole	Psie Pole
psie pole poludnie-kielczow	Psie Pole Południe-Kiełczów
psie pole zawidawie	Psie Pole Zawidawie
pszczew	Pszczew
pszczolki	Pszczółki
pszczyna	Pszczyna
pszow	Pszów
puchaczow	Puchaczów
puck	Puck
pulawy	Puławy
pultusk	Pułtusk
puncow	Puńców
punsk	Puńsk
purda	Purda
puszcza marianska	Puszcza Mariańska
puszczykowo	Puszczykowo
pyrzyce	Pyrzyce
pyskowice	Pyskowice
pysznica	Pysznica
pyzdry	Pyzdry
raba wyzna	Raba Wyżna
rabino	Rąbino
rabka-zdroj	Rabka-Zdrój
rachanie	Rachanie
raciaz	Raciąż
raciazek	Raciążek
raciborz	Racibórz
raclawice	Racławice
raclawice slaskie	Racławice Śląskie
raczki	Raczki
raczna	Rączna
radecznica	Radecznica
radgoszcz	Radgoszcz
radkow	Radków
radlin	Radlin
radlow	Radłów
radocza	Radocza
radom	Radom
radomin	Radomin
radomsko	Radomsko
radomysl	Radomyśl
radomysl wielki	Radomyśl Wielki
radostowice	Radostowice
radoszyce	Radoszyce
radowo male	Radowo Małe
radwanice	Radwanice
radymno	Radymno
radzanow	Radzanów
radzanowo	Radzanowo
radziechowy	Radziechowy
radziejow	Radziejów
radziejowice	Radziejowice
radzilow	Radziłów
radzionkow	Radzionków
radziszow	Radziszów
radzymin	Radzymin
radzyn chelminski	Radzyń Chełmiński
radzyn podlaski	Radzyń Podlaski
rajcza	Rajcza
rajgrod	Rajgród
rajsko	Rajsko
rakoniewice	Rakoniewice
rakow	Raków
rakszawa	Rakszawa
ranizow	Raniżów
raszczyce	Raszczyce
raszkow	Raszków
raszowa	Raszowa
raszyn	Raszyn
ratowice	Ratowice
rawa mazowiecka	Rawa Mazowiecka
rawicz	Rawicz
recz	Recz
reczno	Ręczno
reda	Reda
redziny	Rędziny
regimin	Regimin
regnow	Regnów
regulice	Regulice
rejon alei kromera	Rejon alei Kromera
rejon placu grunwaldzkiego	Rejon placu Grunwaldzkiego
rejon placu swietego macieja	Rejon placu Świętego Macieja
rejon ulicy borowskiej-poludnie	Rejon ulicy Borowskiej-Południe
rejon ulicy kleczkowskiej	Rejon ulicy Klęczkowskiej
rejon ulicy mieleckiej	Rejon ulicy Mieleckiej
rejon ulicy saperow	Rejon ulicy Saperów
rejon ulicy traugutta	Rejon ulicy Traugutta
rejowiec	Rejowiec
rejowiec fabryczny	Rejowiec Fabryczny
rekowo dolne	Rekowo Dolne
rembertow	Rembertów
renska wies	Reńska Wieś
repki	Repki
resko	Resko
reszel	Reszel
rewal	Rewal
roczyny	Roczyny
rogalinek	Rogalinek
rogow	Rogów
rogowo	Rogowo
rogoznik	Rogoźnik
rogozno	Rogóźno
rogozno	Rogoźno
rokiciny	Rokiciny
rokiciny-kolonia	Rokiciny-Kolonia
rokietnica	Rokietnica
rokitno	Rokitno
rokitno szlacheckie	Rokitno Szlacheckie
ropa	Ropa
ropczyce	Ropczyce
rosciszewo	Rościszewo
rossosz	Rossosz
rotmanka	Rotmanka
rozan	Różan
rozanka-polanka	Różanka-Polanka
rozborz	Rozbórz
rozdrazew	Rozdrażew
rozogi	Rozogi
rozprza	Rozprza
rozwadza	Rozwadza
ruciane-nida	Ruciane-Nida
ruda maleniecka	Ruda Maleniecka
ruda slaska	Ruda Śląska
ruda-huta	Ruda-Huta
rudawa	Rudawa
rudka	Rudka
rudna	Rudna
rudna mala	Rudna Mała
rudna wielka	Rudna Wielka
rudnik	Rudnik
rudnik nad sanem	Rudnik nad Sanem
rudniki	Rudniki
rudy	Rudy
rudziczka	Rudziczka
rudziniec	Rudziniec
rumia	Rumia
rusiec	Rusiec
rusinow	Rusinów
rusocice	Rusocice
rutki	Rutki
rutki-kossaki	Rutki-Kossaki
rybarzowice	Rybarzowice
rybczewice	Rybczewice
rybie	Rybie
rybnik	Rybnik
rybno	Rybno
rycerka dolna	Rycerka Dolna
rycerka gorna	Rycerka Górna
rychtal	Rychtal
rychwal	Rychwał
ryczow	Ryczów
ryczywol	Ryczywół
rydultowy	Rydułtowy
rydzyna	Rydzyna
ryglice	Ryglice
ryjewo	Ryjewo
ryki	Ryki
ryman	Rymań
rymanow	Rymanów
ryn	Ryn
rypin	Rypin
rytro	Rytro
rytwiany	Rytwiany
rzaska	Rząska
rzasnik	Rząśnik
rzeczenica	Rzeczenica
rzeczniow	Rzeczniów
rzeczyca	Rzeczyca
rzekun	Rzekuń
rzepedz	Rzepedź
rzepiennik strzyzewski	Rzepiennik Strzyżewski
rzepin	Rzepin
rzeszotary	Rzeszotary
rzeszow	Rzeszów
rzewnie	Rzewnie
rzezawa	Rzezawa
rzgow	Rzgów
rzgow pierwszy	Rzgów Pierwszy
rzozow	Rzozów
rzyki	Rzyki
sabnie	Sabnie
saczow	Sączów
sadki	Sadki
sadkowice	Sadkowice
sadlinki	Sadlinki
sadowie	Sadowie
sadowne	Sadowne
samborzec	Samborzec
sandomierz	Sandomierz
sanka	Sanka
sanniki	Sanniki
sanok	Sanok
santok	Santok
sarnaki	Sarnaki
sarnow	Sarnów
saspow	Sąspów
sawin	Sawin
scinawa	Ścinawa
secemin	Secemin
sedziejowice	Sędziejowice
sedziszow	Sędziszów
sedziszow malopolski	Sędziszów Małopolski
sejny	Sejny
sekowa	Sękowa
sepolno	Sępolno
sepolno krajenskie	Sępólno Krajeńskie
sepopol	Sępopol
serby	Serby
serniki	Serniki
serock	Serock
serokomla	Serokomla
sianow	Sianów
sicienko	Sicienko
sidzina	Sidzina
siechnice	Siechnice
siedlce	Siedlce
siedlec	Siedlec
siedleczka	Siedleczka
siedliska	Siedliska
siedlisko	Siedlisko
siekierczyn	Siekierczyn
siemianowice slaskie	Siemianowice Śląskie
siemiatkowo	Siemiątkowo
siemiatycze	Siemiatycze
siemiechow	Siemiechów
siemien	Siemień
siemkowice	Siemkowice
sieniawa	Sieniawa
sieniawa zarska	Sieniawa Żarska
siennica	Siennica
siennica rozana	Siennica Różana
sienno	Sienno
siepraw	Siepraw
sieradz	Sieradz
sieradza	Sieradza
sierakow	Sieraków
sierakow slaski	Sieraków Śląski
sierakowice	Sierakowice
sieroszewice	Sieroszewice
sierpc	Sierpc
sietesz	Sietesz
siewierz	Siewierz
sitno	Sitno
skala	Skała
skalbmierz	Skalbmierz
skalmierzyce	Skalmierzyce
skape	Skąpe
skarbimierz osiedle	Skarbimierz Osiedle
skarszewy	Skarszewy
skaryszew	Skaryszew
skarzysko koscielne	Skarżysko Kościelne
skarzysko-kamienna	Skarżysko-Kamienna
skawica	Skawica
skawina	Skawina
skawinki	Skawinki
skepe	Skępe
skierbieszow	Skierbieszów
skierniewice	Skierniewice
skoczow	Skoczów
skoki	Skoki
skolyszyn	Skołyszyn
skomielna czarna	Skomielna Czarna
skomlin	Skomlin
skorcz	Skórcz
skorogoszcz	Skorogoszcz
skoroszyce	Skoroszyce
skorzec	Skórzec
skrwilno	Skrwilno
skrzydlna	Skrzydlna
skrzyszow	Skrzyszów
skulsk	Skulsk
skwierzyna	Skwierzyna
slawa	Sława
slawatycze	Sławatycze
slawiecice	Sławięcice
slawkow	Sławków
slawno	Sławno
slawoborze	Sławoborze
slemien	Ślemień
slesin	Ślesin
sliwice	Śliwice
slomniki	Słomniki
sloneczne	Słoneczne
slonsk	Słońsk
slopnice	Słopnice
slotowa	Słotowa
slubice	Słubice
slupca	Słupca
slupia	Słupia
slupia pod kepnem	Słupia pod Kępnem
slupiec	Słupiec
slupno	Słupno
slupsk	Słupsk
smegorzow	Smęgorzów
smetowo graniczne	Smętowo Graniczne
smigiel	Śmigiel
smilowo	Śmiłowo
smoldzino	Smołdzino
smolec	Smolec
smykow	Smyków
sniadowo	Śniadowo
